x,y,z
895.0,740.0,-5436.141700744629
895.0,2220.0,-5383.811225891113
2685.0,740.0,-5531.190757751465
2685.0,2220.0,-5509.748191833496
1595.792941749096,3700.0,-5382.5
895.0,2257.5790071487427,-5382.5
2685.0,3700.0,-5457.654838562012
895.0,3700.0,-5334.35302734375
1936.2839114665985,5180.0,-5382.5
2685.0,5180.0,-5423.983573913574
895.0,5180.0,-5326.48567199707
895.0,6604.51319694519,-5382.5
895.0,6660.0,-5384.768180847168
2685.0,6660.0,-5463.828468322754
1781.2925735116005,8140.0,-5567.5
2685.0,8140.0,-5586.223430633545
2685.0,7913.003368377686,-5567.5
895.0,8140.0,-5549.708824157715
895.0,8282.558059692383,-5567.5
895.0,9620.0,-5728.775844573975
2685.0,9620.0,-5719.40954208374
895.0,10047.394008636475,-5752.5
2685.0,11100.0,-5777.143707275391
2685.0,10469.130973815918,-5752.5
895.0,11100.0,-5810.99422454834
2685.0,11777.236881256104,-5752.5
895.0,12580.0,-5755.046234130859
1040.4165829718113,12580.0,-5752.5
2685.0,12580.0,-5723.806171417236
895.0,12601.791191101074,-5752.5
895.0,14060.0,-5580.867729187012
2685.0,14060.0,-5571.481666564941
2685.0,14087.672653198242,-5567.5
895.0,14142.310829162598,-5567.5
895.0,15280.148620605469,-5382.5
2685.0,15377.844123840332,-5382.5
895.0,15540.0,-5340.079231262207
2685.0,15540.0,-5359.290313720703
2685.0,16573.17684173584,-5197.5
895.0,16367.89306640625,-5197.5
895.0,17020.0,-5085.349960327148
2685.0,17020.0,-5127.842712402344
2685.0,17790.758056640625,-5012.5
895.0,17481.410369873047,-5012.5
895.0,18500.0,-4853.134536743164
2685.0,18500.0,-4907.234954833984
2685.0,19118.260650634766,-4827.5
895.0,18701.961250305176,-4827.5
895.0,19980.0,-4667.222747802734
2685.0,19980.0,-4717.506637573242
2685.0,20736.63661956787,-4642.5
895.0,20265.158462524414,-4642.5
895.0,21460.0,-4540.173568725586
2685.0,21460.0,-4571.59782409668
895.0,22940.0,-4469.206466674805
2685.0,22940.0,-4477.326469421387
2685.0,23666.086044311523,-4457.5
895.0,23760.449142456055,-4457.5
895.0,24420.0,-4448.280487060547
2685.0,24420.0,-4437.316436767578
895.0,25269.313049316406,-4457.5
895.0,25900.0,-4464.499320983887
1460.112325847149,25900.0,-4457.5
2685.0,25900.0,-4442.638969421387
2685.0,27380.0,-4472.129554748535
2685.0,26653.16307067871,-4457.5
895.0,27380.0,-4493.9362716674805
895.0,28860.0,-4508.0280685424805
2685.0,28860.0,-4497.510032653809
895.0,30340.0,-4490.541763305664
2685.0,30340.0,-4494.543190002441
2685.0,31660.803909301758,-4457.5
895.0,31261.129837036133,-4457.5
895.0,31820.0,-4437.8203201293945
2685.0,31820.0,-4453.11466217041
895.0,33300.0,-4353.88916015625
2685.0,33300.0,-4380.642967224121
1603.3444637060165,34780.0,-4272.5
895.0,34558.75427246094,-4272.5
2685.0,34780.0,-4294.507141113281
895.0,34780.0,-4258.353157043457
2685.0,35174.97116088867,-4272.5
2685.0,36260.0,-4212.859687805176
895.0,36260.0,-4175.1898193359375
895.0,37740.0,-4096.4654541015625
2685.0,37740.0,-4135.761299133301
2685.0,38599.67300415039,-4087.5
895.0,37885.603942871094,-4087.5
895.0,39220.0,-4006.201171875
2685.0,39220.0,-4053.0919647216797
1103.6428217589855,40700.0,-3902.5
895.0,40605.171127319336,-3902.5
2685.0,40700.0,-3956.673812866211
895.0,40700.0,-3895.468215942383
2685.0,41430.15663146973,-3902.5
2685.0,42180.0,-3847.332534790039
895.0,42180.0,-3768.7097930908203
2330.1469111442566,43660.0,-3717.5
895.0,42754.62463378906,-3717.5
2685.0,43660.0,-3737.5706481933594
895.0,43660.0,-3637.2922134399414
2685.0,43983.23341369629,-3717.5
977.6336307451129,45140.0,-3532.5
2685.0,45140.0,-3646.5060806274414
895.0,45065.989837646484,-3532.5
895.0,45140.0,-3527.0363235473633
1990.5866718292236,46620.0,-3532.5
2685.0,46620.0,-3582.121925354004
895.0,46620.0,-3455.0120544433594
2654.284456372261,48100.0,-3532.5
2685.0,48100.0,-3534.8218154907227
895.0,48100.0,-3400.841064453125
2685.0,48170.718688964844,-3532.5
990.1617490127683,49580.0,-3347.5
2685.0,49580.0,-3486.962776184082
895.0,49389.568786621094,-3347.5
895.0,49580.0,-3339.7314453125
1875.421387553215,51060.0,-3347.5
2685.0,51060.0,-3421.6597747802734
895.0,51060.0,-3258.311233520508
2685.0,52267.14645385742,-3347.5
1052.2148324549198,52540.0,-3162.5
2685.0,52540.0,-3330.909957885742
895.0,52325.15655517578,-3162.5
895.0,52540.0,-3146.37149810791
2201.496251821518,54020.0,-3162.5
2685.0,54020.0,-3219.287796020508
895.0,54020.0,-3009.241828918457
2685.0,54723.189697265625,-3162.5
1735.9781071543694,55500.0,-2977.5
2685.0,55500.0,-3100.3148651123047
895.0,54352.24685668945,-2977.5
895.0,55500.0,-2868.5666275024414
2577.401334643364,56980.0,-2977.5
2685.0,56980.0,-2992.2706985473633
895.0,56423.96682739258,-2792.5
1226.117436438799,56980.0,-2792.5
895.0,56980.0,-2747.188606262207
2685.0,57253.63830566406,-2977.5
1831.9533383846283,58460.0,-2792.5
2685.0,58460.0,-2913.258399963379
895.0,58460.0,-2659.3929290771484
2094.223744869232,59940.0,-2792.5
2685.0,59940.0,-2875.7028579711914
895.0,59940.0,-2622.6729583740234
2027.692551612854,61420.0,-2792.5
2685.0,61420.0,-2878.8306045532227
895.0,61420.0,-2643.347702026367
1780.4699757695198,62900.0,-2792.5
2685.0,62900.0,-2899.618263244629
895.0,62900.0,-2687.699317932129
1632.1829161047935,64380.0,-2792.5
2685.0,64380.0,-2906.3155364990234
895.0,64380.0,-2712.931594848633
1841.1719810962677,65860.0,-2792.5
2685.0,65860.0,-2878.700752258301
895.0,65860.0,-2696.1030197143555
2429.802333712578,67340.0,-2792.5
2685.0,67340.0,-2818.24462890625
895.0,67340.0,-2638.138084411621
2685.0,67878.14743041992,-2792.5
1311.3976167142391,68820.0,-2607.5
2685.0,68820.0,-2748.127212524414
895.0,67954.45541381836,-2607.5
895.0,68820.0,-2564.938087463379
1794.7906982898712,70300.0,-2607.5
2685.0,70300.0,-2697.014808654785
895.0,70300.0,-2517.0945739746094
1918.7562847137451,71780.0,-2607.5
2685.0,71780.0,-2677.4903869628906
895.0,71780.0,-2514.363441467285
1828.4897857904434,73260.0,-2607.5
2685.0,73260.0,-2676.482620239258
895.0,73260.0,-2532.8081130981445
1810.8667761087418,74740.0,-2607.5
2685.0,74740.0,-2670.2991104125977
895.0,74740.0,-2542.164535522461
2143.867678642273,76220.0,-2607.5
2685.0,76220.0,-2642.7732467651367
895.0,76220.0,-2526.8461990356445
2685.0,77259.82330322266,-2607.5
2685.0,77700.0,-2592.826690673828
895.0,77700.0,-2484.0993881225586
895.0,79180.0,-2428.140106201172
2685.0,79180.0,-2533.653564453125
1592.4463772773743,80660.0,-2422.5
895.0,79374.58084106445,-2422.5
2685.0,80660.0,-2480.3590774536133
895.0,80660.0,-2385.9437561035156
2349.2981815338135,82140.0,-2422.5
2685.0,82140.0,-2436.7202377319336
895.0,82140.0,-2361.681137084961
2685.0,82617.2184753418,-2422.5
2685.0,83620.0,-2393.171730041504
895.0,83620.0,-2335.133399963379
895.0,85100.0,-2294.1452407836914
2685.0,85100.0,-2340.509567260742
895.0,86580.0,-2244.86629486084
2685.0,86580.0,-2282.725296020508
2559.6565890312195,88060.0,-2237.5
895.0,86867.16552734375,-2237.5
2685.0,88060.0,-2239.793586730957
895.0,88060.0,-2207.505531311035
2568.50821018219,89540.0,-2237.5
2685.0,89540.0,-2239.111862182617
895.0,89540.0,-2214.671401977539
895.0,89976.07788085938,-2237.5
895.0,91020.0,-2292.9201126098633
2685.0,91020.0,-2293.580665588379
895.0,92500.0,-2413.2339096069336
2685.0,92500.0,-2381.2210845947266
895.0,92633.55590820312,-2422.5
2685.0,93980.0,-2458.1839752197266
2685.0,93298.48999023438,-2422.5
895.0,93980.0,-2516.887092590332
895.0,95460.0,-2560.3650283813477
2685.0,95460.0,-2488.191146850586
895.0,96940.0,-2536.428451538086
2685.0,96940.0,-2463.8240814208984
2685.0,98068.94714355469,-2422.5
895.0,98420.0,-2469.714012145996
2300.6039160490036,98420.0,-2422.5
2685.0,98420.0,-2409.863395690918
895.0,99595.44555664062,-2422.5
895.0,99900.0,-2410.450553894043
2685.0,99900.0,-2366.5661239624023
895.0,101380.0,-2396.9628524780273
2685.0,101380.0,-2356.9175338745117
895.0,102860.0,-2407.7391815185547
2685.0,102860.0,-2368.296546936035
895.0,104340.0,-2400.1258850097656
2685.0,104340.0,-2367.031898498535
895.0,105820.0,-2350.1609802246094
2685.0,105820.0,-2328.9075469970703
895.0,107300.0,-2264.1013717651367
2685.0,107300.0,-2257.9023361206055
2685.0,107730.5111694336,-2237.5
895.0,107772.93334960938,-2237.5
895.0,108780.0,-2181.5661239624023
2685.0,108780.0,-2188.5174560546875
895.0,110260.0,-2157.9301834106445
2685.0,110260.0,-2162.569580078125
895.0,111740.0,-2216.4300537109375
2685.0,111740.0,-2197.729911804199
895.0,112053.85864257812,-2237.5
2685.0,113220.0,-2272.2863006591797
2685.0,112534.42504882812,-2237.5
895.0,113220.0,-2316.575813293457
895.0,114700.0,-2401.7772674560547
2685.0,114700.0,-2345.5695724487305
895.0,115531.19018554688,-2422.5
895.0,116180.0,-2438.9884185791016
1437.4610674381256,116180.0,-2422.5
2685.0,116180.0,-2385.398941040039
895.0,117376.04125976562,-2422.5
895.0,117660.0,-2418.6679458618164
2685.0,117660.0,-2383.055953979492
895.0,119140.0,-2360.5661010742188
2685.0,119140.0,-2350.8328247070312
895.0,120620.0,-2300.4077911376953
2685.0,120620.0,-2310.392303466797
895.0,122100.0,-2257.8359985351562
2685.0,122100.0,-2276.0082626342773
1721.831986606121,123580.0,-2237.5
895.0,123062.81524658203,-2237.5
2685.0,123580.0,-2250.197296142578
895.0,123580.0,-2226.781539916992
2685.0,124679.93927001953,-2237.5
2685.0,125060.0,-2233.2021713256836
895.0,125060.0,-2205.6960678100586
895.0,126540.0,-2197.8075408935547
2685.0,126540.0,-2226.414566040039
895.0,128020.0,-2198.461036682129
2685.0,128020.0,-2230.746269226074
2170.321504473686,129500.0,-2237.5
2685.0,129500.0,-2249.0399169921875
2685.0,128573.59985351562,-2237.5
895.0,129500.0,-2209.2980575561523
895.0,130894.5458984375,-2237.5
895.0,130980.0,-2239.2628860473633
2685.0,130980.0,-2283.734474182129
895.0,132460.0,-2285.246124267578
2685.0,132460.0,-2331.198310852051
895.0,133940.0,-2337.026138305664
2685.0,133940.0,-2384.554901123047
1998.6295652389526,135420.0,-2422.5
2685.0,135420.0,-2439.7308349609375
2685.0,134964.5458984375,-2422.5
895.0,135420.0,-2395.2479553222656
895.0,136044.9057006836,-2422.5
895.0,136900.0,-2460.606002807617
2685.0,136900.0,-2494.2306900024414
895.0,138380.0,-2525.4771041870117
2685.0,138380.0,-2544.477882385254
895.0,139860.0,-2588.4738159179688
2685.0,139860.0,-2590.1590728759766
895.0,140326.76818847656,-2607.5
2685.0,141340.0,-2630.5120849609375
2685.0,140503.84155273438,-2607.5
895.0,141340.0,-2649.5876693725586
895.0,142820.0,-2696.5038681030273
2685.0,142820.0,-2658.824119567871
895.0,144300.0,-2716.5773391723633
2685.0,144300.0,-2668.224296569824
895.0,145780.0,-2710.0649642944336
2685.0,145780.0,-2661.398582458496
895.0,147260.0,-2697.731819152832
2685.0,147260.0,-2654.9779510498047
4458.9282965660095,740.0,-5752.5
4475.0,810.2966745197773,-5752.5
4475.0,740.0,-5754.401912689209
3176.0067784786224,2220.0,-5567.5
4475.0,2220.0,-5713.971977233887
2961.433811187744,740.0,-5567.5
3642.472404241562,3700.0,-5567.5
4475.0,3700.0,-5660.321807861328
4008.8640534877777,5180.0,-5567.5
4475.0,5180.0,-5616.791648864746
3866.310532093048,6660.0,-5567.5
4475.0,6660.0,-5619.855880737305
4475.0,8140.0,-5673.007106781006
4475.0,9620.0,-5734.582500457764
4475.0,11100.0,-5752.899436950684
4475.0,11068.105735778809,-5752.5
4475.0,11111.072731018066,-5752.5
4475.0,12580.0,-5700.681171417236
4475.0,14060.0,-5580.1591873168945
4475.0,14172.090759277344,-5567.5
3445.0064826011658,15540.0,-5382.5
4475.0,15540.0,-5414.282760620117
4475.0,15788.095512390137,-5382.5
3959.582233428955,17020.0,-5197.5
4475.0,17020.0,-5225.874137878418
4475.0,17234.8095703125,-5197.5
4200.730762481689,18500.0,-5012.5
4475.0,18500.0,-5031.694145202637
4475.0,18650.11489868164,-5012.5
4245.979826450348,19980.0,-4827.5
4475.0,19980.0,-4843.80069732666
4475.0,20122.910919189453,-4827.5
3901.9235730171204,21460.0,-4642.5
4475.0,21460.0,-4676.313819885254
4475.0,21846.873741149902,-4642.5
4475.0,22940.0,-4548.069152832031
3627.640678882599,24420.0,-4457.5
4475.0,24420.0,-4475.987014770508
3914.267873764038,25900.0,-4457.5
4475.0,25900.0,-4464.420280456543
4475.0,27380.0,-4495.318069458008
4475.0,28860.0,-4533.791046142578
4475.0,30340.0,-4546.0931396484375
2812.577761411667,31820.0,-4457.5
4475.0,31820.0,-4515.713348388672
4475.0,33094.974517822266,-4457.5
4475.0,33300.0,-4448.281898498535
4475.0,34780.0,-4364.894142150879
4225.766540765762,36260.0,-4272.5
4475.0,36260.0,-4282.309494018555
4475.0,36451.540603637695,-4272.5
4475.0,37740.0,-4207.3931884765625
3468.7933206558228,39220.0,-4087.5
4475.0,39220.0,-4132.366790771484
4475.0,40018.47587585449,-4087.5
4475.0,40700.0,-4049.631118774414
3577.6453006267548,42180.0,-3902.5
4475.0,42180.0,-3958.6343002319336
4475.0,43092.47489929199,-3902.5
4475.0,43660.0,-3867.967758178711
3568.9603328704834,45140.0,-3717.5
