index	X	Y	Depth
147	740583.64	7230067.38	-6511.32
148	740633.64	7230067.38	-6499.17
149	740683.64	7230067.38	-6483.50
150	740733.64	7230067.38	-6473.44
151	740783.64	7230067.38	-6462.45
152	740833.64	7230067.38	-6446.37
153	740883.64	7230067.38	-6433.01
154	740933.64	7230067.38	-6415.21
155	740983.64	7230067.38	-6398.90
156	741033.64	7230067.38	-6385.90
157	741083.64	7230067.38	-6382.70
158	739783.64	7230117.38	-6645.69
159	739833.64	7230117.38	-6634.71
160	739883.64	7230117.38	-6622.81
161	739933.64	7230117.38	-6610.62
162	739983.64	7230117.38	-6600.67
163	740033.64	7230117.38	-6594.70
164	740083.64	7230117.38	-6593.11
165	740133.64	7230117.38	-6590.84
166	740183.64	7230117.38	-6585.08
167	740233.64	7230117.38	-6576.47
168	740283.64	7230117.38	-6568.79
169	740333.64	7230117.38	-6557.75
170	740383.64	7230117.38	-6545.06
171	740433.64	7230117.38	-6534.68
172	740483.64	7230117.38	-6524.71
173	740533.64	7230117.38	-6517.05
174	740583.64	7230117.38	-6510.58
175	740633.64	7230117.38	-6500.42
176	740683.64	7230117.38	-6484.58
177	740733.64	7230117.38	-6470.23
178	740783.64	7230117.38	-6453.79
179	740833.64	7230117.38	-6436.89
180	740883.64	7230117.38	-6424.68
181	740933.64	7230117.38	-6410.35
182	740983.64	7230117.38	-6400.76
183	741033.64	7230117.38	-6390.09
184	741083.64	7230117.38	-6383.44
185	741133.64	7230117.38	-6382.95
186	739733.64	7230167.38	-6650.01
187	739783.64	7230167.38	-6642.09
188	739833.64	7230167.38	-6631.20
189	739883.64	7230167.38	-6618.41
190	739933.64	7230167.38	-6604.06
191	739983.64	7230167.38	-6591.35
192	740033.64	7230167.38	-6584.17
193	740083.64	7230167.38	-6582.80
194	740133.64	7230167.38	-6582.56
195	740183.64	7230167.38	-6579.49
196	740233.64	7230167.38	-6571.10
197	740283.64	7230167.38	-6562.19
198	740333.64	7230167.38	-6549.95
199	740383.64	7230167.38	-6538.11
200	740433.64	7230167.38	-6531.01
201	740483.64	7230167.38	-6519.06
202	740533.64	7230167.38	-6511.12
203	740583.64	7230167.38	-6505.70
204	740633.64	7230167.38	-6495.21
205	740683.64	7230167.38	-6479.59
206	740733.64	7230167.38	-6465.41
207	740783.64	7230167.38	-6446.63
208	740833.64	7230167.38	-6431.94
209	740883.64	7230167.38	-6420.19
210	740933.64	7230167.38	-6411.91
211	740983.64	7230167.38	-6407.18
212	741033.64	7230167.38	-6398.38
213	741083.64	7230167.38	-6388.70
214	741133.64	7230167.38	-6382.07
215	739683.64	7230217.38	-6645.23
216	739733.64	7230217.38	-6641.19
217	739783.64	7230217.38	-6633.12
218	739833.64	7230217.38	-6622.37
219	739883.64	7230217.38	-6608.89
220	739933.64	7230217.38	-6593.23
221	739983.64	7230217.38	-6580.16
222	740033.64	7230217.38	-6572.32
223	740083.64	7230217.38	-6569.51
224	740133.64	7230217.38	-6569.59
225	740183.64	7230217.38	-6568.21
226	740233.64	7230217.38	-6562.29
227	740283.64	7230217.38	-6554.21
228	740333.64	7230217.38	-6541.34
229	740383.64	7230217.38	-6531.86
230	740433.64	7230217.38	-6526.66
231	740483.64	7230217.38	-6517.01
232	740533.64	7230217.38	-6506.00
233	740583.64	7230217.38	-6497.67
234	740633.64	7230217.38	-6485.25
235	740683.64	7230217.38	-6468.95
236	740733.64	7230217.38	-6455.98
237	740783.64	7230217.38	-6440.78
238	740833.64	7230217.38	-6430.91
239	740883.64	7230217.38	-6422.87
240	740933.64	7230217.38	-6417.51
241	740983.64	7230217.38	-6414.82
242	741033.64	7230217.38	-6405.43
243	741083.64	7230217.38	-6392.04
244	741133.64	7230217.38	-6380.48
245	741183.64	7230217.38	-6371.72
246	739583.64	7230267.38	-6639.55
247	739633.64	7230267.38	-6636.68
248	739683.64	7230267.38	-6634.45
249	739733.64	7230267.38	-6629.35
250	739783.64	7230267.38	-6620.42
251	739833.64	7230267.38	-6608.90
252	739883.64	7230267.38	-6595.59
253	739933.64	7230267.38	-6580.96
254	739983.64	7230267.38	-6568.73
255	740033.64	7230267.38	-6561.39
256	740083.64	7230267.38	-6557.23
257	740133.64	7230267.38	-6555.98
258	740183.64	7230267.38	-6555.21
259	740233.64	7230267.38	-6551.70
260	740283.64	7230267.38	-6544.52
261	740333.64	7230267.38	-6531.51
262	740383.64	7230267.38	-6523.15
263	740433.64	7230267.38	-6517.04
264	740483.64	7230267.38	-6508.12
265	740533.64	7230267.38	-6496.17
266	740583.64	7230267.38	-6486.69
267	740633.64	7230267.38	-6474.33
268	740683.64	7230267.38	-6460.42
269	740733.64	7230267.38	-6449.53
270	740783.64	7230267.38	-6440.87
271	740833.64	7230267.38	-6435.23
272	740883.64	7230267.38	-6427.68
273	740933.64	7230267.38	-6421.68
274	740983.64	7230267.38	-6415.75
275	741033.64	7230267.38	-6405.74
276	741083.64	7230267.38	-6390.56
277	741133.64	7230267.38	-6377.10
278	741183.64	7230267.38	-6365.99
279	739483.64	7230317.38	-6615.64
280	739533.64	7230317.38	-6620.84
281	739583.64	7230317.38	-6625.57
282	739633.64	7230317.38	-6623.80
283	739683.64	7230317.38	-6620.33
284	739733.64	7230317.38	-6613.34
285	739783.64	7230317.38	-6602.57
286	739833.64	7230317.38	-6591.96
287	739883.64	7230317.38	-6580.04
288	739933.64	7230317.38	-6566.92
289	739983.64	7230317.38	-6556.05
290	740033.64	7230317.38	-6548.65
291	740083.64	7230317.38	-6542.86
292	740133.64	7230317.38	-6539.25
293	740183.64	7230317.38	-6538.10
294	740233.64	7230317.38	-6537.16
295	740283.64	7230317.38	-6534.49
296	740333.64	7230317.38	-6524.29
297	740383.64	7230317.38	-6514.63
298	740433.64	7230317.38	-6504.67
299	740483.64	7230317.38	-6494.48
300	740533.64	7230317.38	-6481.70
301	740583.64	7230317.38	-6473.75
302	740633.64	7230317.38	-6464.25
303	740683.64	7230317.38	-6457.68
304	740733.64	7230317.38	-6450.64
305	740783.64	7230317.38	-6444.94
306	740833.64	7230317.38	-6440.51
307	740883.64	7230317.38	-6430.53
308	740933.64	7230317.38	-6420.58
309	740983.64	7230317.38	-6410.99
310	741033.64	7230317.38	-6399.62
311	741083.64	7230317.38	-6386.14
312	741133.64	7230317.38	-6372.20
313	741183.64	7230317.38	-6360.47
314	741233.64	7230317.38	-6351.19
315	739433.64	7230367.38	-6589.78
316	739483.64	7230367.38	-6595.41
317	739533.64	7230367.38	-6600.71
318	739583.64	7230367.38	-6607.94
319	739633.64	7230367.38	-6607.39
320	739683.64	7230367.38	-6603.06
321	739733.64	7230367.38	-6595.52
322	739783.64	7230367.38	-6585.22
323	739833.64	7230367.38	-6574.71
324	739883.64	7230367.38	-6563.47
325	739933.64	7230367.38	-6552.29
326	739983.64	7230367.38	-6542.43
327	740033.64	7230367.38	-6534.98
328	740083.64	7230367.38	-6528.13
329	740133.64	7230367.38	-6522.03
330	740183.64	7230367.38	-6518.82
331	740233.64	7230367.38	-6518.95
332	740283.64	7230367.38	-6518.23
333	740333.64	7230367.38	-6513.22
334	740383.64	7230367.38	-6504.25
335	740433.64	7230367.38	-6493.03
336	740483.64	7230367.38	-6483.50
337	740533.64	7230367.38	-6472.40
338	740583.64	7230367.38	-6465.78
339	740633.64	7230367.38	-6463.55
340	740683.64	7230367.38	-6460.33
341	740733.64	7230367.38	-6454.61
342	740783.64	7230367.38	-6447.57
343	740833.64	7230367.38	-6440.32
344	740883.64	7230367.38	-6428.56
345	740933.64	7230367.38	-6416.34
346	740983.64	7230367.38	-6404.63
347	741033.64	7230367.38	-6392.70
348	741083.64	7230367.38	-6380.21
349	741133.64	7230367.38	-6366.87
350	741183.64	7230367.38	-6354.79
351	741233.64	7230367.38	-6344.87
352	741283.64	7230367.38	-6337.49
353	739383.64	7230417.38	-6570.98
354	739433.64	7230417.38	-6572.36
355	739483.64	7230417.38	-6575.26
356	739533.64	7230417.38	-6578.68
357	739583.64	7230417.38	-6587.44
358	739633.64	7230417.38	-6590.10
359	739683.64	7230417.38	-6587.33
360	739733.64	7230417.38	-6580.84
361	739783.64	7230417.38	-6571.43
362	739833.64	7230417.38	-6560.35
363	739883.64	7230417.38	-6548.62
364	739933.64	7230417.38	-6538.04
365	739983.64	7230417.38	-6529.12
366	740033.64	7230417.38	-6521.86
367	740083.64	7230417.38	-6515.38
368	740133.64	7230417.38	-6508.88
369	740183.64	7230417.38	-6504.09
370	740233.64	7230417.38	-6502.59
371	740283.64	7230417.38	-6502.32
372	740333.64	7230417.38	-6500.28
373	740383.64	7230417.38	-6491.94
374	740433.64	7230417.38	-6481.55
375	740483.64	7230417.38	-6474.34
376	740533.64	7230417.38	-6466.65
377	740583.64	7230417.38	-6464.76
378	740633.64	7230417.38	-6465.58
379	740683.64	7230417.38	-6463.53
380	740733.64	7230417.38	-6454.87
381	740783.64	7230417.38	-6444.11
382	740833.64	7230417.38	-6433.50
383	740883.64	7230417.38	-6421.86
384	740933.64	7230417.38	-6410.01
385	740983.64	7230417.38	-6398.20
386	741033.64	7230417.38	-6386.32
387	741083.64	7230417.38	-6374.35
388	741133.64	7230417.38	-6361.60
389	741183.64	7230417.38	-6349.27
390	741233.64	7230417.38	-6338.72
391	741283.64	7230417.38	-6330.10
392	739283.64	7230467.38	-6575.56
393	739333.64	7230467.38	-6562.49
394	739383.64	7230467.38	-6554.84
395	739433.64	7230467.38	-6553.32
396	739483.64	7230467.38	-6554.10
397	739533.64	7230467.38	-6555.48
398	739583.64	7230467.38	-6564.83
399	739633.64	7230467.38	-6572.21
400	739683.64	7230467.38	-6573.08
401	739733.64	7230467.38	-6568.74
402	739783.64	7230467.38	-6560.56
403	739833.64	7230467.38	-6549.00
404	739883.64	7230467.38	-6535.68
405	739933.64	7230467.38	-6525.00
406	739983.64	7230467.38	-6516.52
407	740033.64	7230467.38	-6509.70
408	740083.64	7230467.38	-6503.99
409	740133.64	7230467.38	-6498.10
410	740183.64	7230467.38	-6492.12
411	740233.64	7230467.38	-6487.53
412	740283.64	7230467.38	-6485.85
413	740333.64	7230467.38	-6485.39
414	740383.64	7230467.38	-6478.96
415	740433.64	7230467.38	-6472.70
416	740483.64	7230467.38	-6472.09
417	740533.64	7230467.38	-6467.86
418	740583.64	7230467.38	-6467.03
419	740633.64	7230467.38	-6467.19
420	740683.64	7230467.38	-6462.83
421	740733.64	7230467.38	-6451.51
422	740783.64	7230467.38	-6439.02
423	740833.64	7230467.38	-6426.92
424	740883.64	7230467.38	-6415.17
425	740933.64	7230467.38	-6403.60
426	740983.64	7230467.38	-6392.43
427	741033.64	7230467.38	-6381.40
428	741083.64	7230467.38	-6370.10
429	741133.64	7230467.38	-6358.05
430	741183.64	7230467.38	-6345.67
431	741233.64	7230467.38	-6334.06
432	741283.64	7230467.38	-6324.35
433	741333.64	7230467.38	-6317.11
434	739233.64	7230517.38	-6567.47
435	739283.64	7230517.38	-6560.93
436	739333.64	7230517.38	-6548.62
437	739383.64	7230517.38	-6540.99
438	739433.64	7230517.38	-6536.43
439	739483.64	7230517.38	-6533.61
440	739533.64	7230517.38	-6533.81
441	739583.64	7230517.38	-6542.74
442	739633.64	7230517.38	-6552.49
443	739683.64	7230517.38	-6558.20
444	739733.64	7230517.38	-6557.12
445	739783.64	7230517.38	-6550.83
446	739833.64	7230517.38	-6538.60
447	739883.64	7230517.38	-6524.56
448	739933.64	7230517.38	-6513.30
449	739983.64	7230517.38	-6505.05
450	740033.64	7230517.38	-6498.96
451	740083.64	7230517.38	-6493.86
452	740133.64	7230517.38	-6488.59
453	740183.64	7230517.38	-6482.07
454	740233.64	7230517.38	-6474.94
455	740283.64	7230517.38	-6471.20
456	740333.64	7230517.38	-6471.67
457	740383.64	7230517.38	-6468.90
458	740433.64	7230517.38	-6468.28
459	740483.64	7230517.38	-6470.50
460	740533.64	7230517.38	-6467.08
461	740583.64	7230517.38	-6463.13
462	740633.64	7230517.38	-6460.11
463	740683.64	7230517.38	-6453.92
464	740733.64	7230517.38	-6444.17
465	740783.64	7230517.38	-6432.89
466	740833.64	7230517.38	-6421.57
467	740883.64	7230517.38	-6409.88
468	740933.64	7230517.38	-6398.41
469	740983.64	7230517.38	-6388.28
470	741033.64	7230517.38	-6379.31
471	741083.64	7230517.38	-6369.87
472	741133.64	7230517.38	-6358.36
473	741183.64	7230517.38	-6345.60
474	741233.64	7230517.38	-6332.49
475	741283.64	7230517.38	-6320.51
476	741333.64	7230517.38	-6312.24
477	741383.64	7230517.38	-6306.46
478	739133.64	7230567.38	-6568.55
479	739183.64	7230567.38	-6557.17
480	739233.64	7230567.38	-6550.81
481	739283.64	7230567.38	-6545.41
482	739333.64	7230567.38	-6534.22
