X,Y,Z,azimuth,dip,polarity,formation
425873.0,7927509.0,-38,0,0,1,RIO_DOCE
438482.9,7913178.4,-1280,0,1,1,CARAVELAS
427132.3,7820413.7,-1607,0,0,1,URUCUTUCA
431122.8,7877011.6,-3851,0,0,1,SAO_MATEUS
426449.0,7835962.0,-3546,0,0,1,REGENCIA
429623.0,7922121.0,-3080,0,0,1,MARIRICU
