,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,formation,series,id,order_series,smooth
1005,1000.0,23.4018,-36.1053,0.5001,0.2501,0.5924012849379464,-0.012990688725793495,0.41318873541603196,0.9105527502191896,24.418150389123554,358.19920904643067,1.0,water,SF,1.0,1.0,0.01
1006,1000.0,274.9715,-62.7092,0.5001,0.2562512068050322,0.5917507849344865,-0.012990688725793486,0.41318873541603207,0.9105527502191896,24.418150389123554,358.19920904643067,1.0,water,SF,1.0,1.0,0.01
1007,1000.0,545.5551,-212.8312,0.5001,0.2628673282284393,0.5880801065181867,5.5975166650784e-18,0.4212217807462509,0.9069576679343736,24.911747669252037,7.613900688965985e-16,1.0,water,SF,1.0,1.0,0.01
1008,1000.0,778.1107,-389.557,0.5001,0.26855361552483603,0.5837589305435571,-3.771450705412007e-18,0.38284044972774367,0.9238144781568748,22.50973801085759,360.0,1.0,water,SF,1.0,1.0,0.01
1009,1000.0,1069.1709,-389.557,0.5001,0.2756704164866134,0.5837589305435571,1.6820702325984728e-18,0.38679881604013117,0.9221641263408334,22.75545844911397,2.491618928908046e-16,1.0,water,SF,1.0,1.0,0.01
1010,1000.0,1243.222,-539.679,0.5001,0.27992619256275986,0.5800882521272572,8.317422150211635e-18,0.4736478146695159,0.8807143394193101,28.271345835057954,1.0061340322413697e-15,1.0,water,SF,1.0,1.0,0.01
1011,1000.0,1455.3011,-691.7013,0.5001,0.28511180276591663,0.5763711089010394,2.5328416319088667e-19,0.5495411546143522,0.8354666476796815,33.33553995259125,2.6407692029043165e-17,1.0,water,SF,1.0,1.0,0.01
1012,1000.0,1649.8288,-741.1085,0.5001,0.2898682583804333,0.5751630385139554,3.11383858836601e-18,0.6382383772498332,0.7698387972851846,39.66058480287953,2.795347562255871e-16,1.0,water,SF,1.0,1.0,0.01
1013,1000.0,1765.3753,-967.2416,0.5001,0.29269352079119915,0.5696337897071118,0.04346451258386874,0.5211676309747802,0.8523468405349913,31.532150378654514,4.767340296605214,1.0,water,SF,1.0,1.0,0.01
1014,1000.0,1997.9309,-1168.6711,0.5001,0.2983798080875959,0.5647085760938101,0.006462442231257791,0.30012879084573346,0.9538767979911691,17.469517361282197,1.233515306375393,1.0,water,SF,1.0,1.0,0.01
1015,1000.0,2152.968,-1168.6711,0.5001,0.30217066710023716,0.5647085760938101,0.012869773663311516,-0.14161144275284424,0.9898386576646281,8.174884210158748,174.80717376087404,1.0,water,SF,1.0,1.0,0.01
1016,1000.0,2308.0051,-1043.2527,0.5001,0.3059615261128784,0.5677752193165679,-1.6002824807821937e-18,-0.40559320392287823,0.9140536925868056,23.928305691063667,180.0,1.0,water,SF,1.0,1.0,0.01
1017,1000.0,2423.5517,-1018.5491,0.5001,0.30878679096877454,0.56837925451011,0.0,-0.1250744921737607,0.9921473536765977,7.18505762931649,180.0,1.0,water,SF,1.0,1.0,0.01
1018,1000.0,2559.5748,-967.2416,0.5001,0.31211273291791064,0.5696337897071118,2.193591064866587e-18,-0.1152339132913724,0.9933383840502472,6.617116988292345,180.0,1.0,water,SF,1.0,1.0,0.01
1019,1000.0,2869.649,-1018.5491,0.5001,0.31969445094319304,0.56837925451011,1.0685819191461464e-18,-0.023706057585838807,0.99971897192848,1.358384298986635,180.0,1.0,water,SF,1.0,1.0,0.01
1020,1000.0,2928.1535,-1067.9563,0.5001,0.32112496216344344,0.567171184123026,1.1260766758774645e-18,-0.023706057585838807,0.99971897192848,1.358384298986635,180.0,1.0,water,SF,1.0,1.0,0.01
1021,1000.0,3005.6721,-942.538,0.5001,0.32302039289232914,0.5702378249006538,-6.58269476173536e-19,-0.19305913484556306,0.9811871230569033,11.131365904544733,180.0,1.0,water,SF,1.0,1.0,0.01
1022,1000.0,3450.3068,-841.8232,0.5001,0.33389229039188273,0.5727004329298697,-3.5087015523364665e-18,-0.19763612044348702,0.9802754530722717,11.398759720644794,180.0,1.0,water,SF,1.0,1.0,0.01
1023,1000.0,3856.9135,-817.1196,0.5001,0.34383435376442595,0.5733044681234116,-2.2679290690728013e-19,-0.015736990698088624,0.9998761658944412,0.9017003699644173,180.0,1.0,water,SF,1.0,1.0,0.01
1024,1000.0,4282.5342,-967.2416,0.5001,0.3542413342004743,0.5696337897071118,-0.018239786680185027,0.2292012408787114,0.9732081490418791,13.292706541651732,355.450002673453,1.0,water,SF,1.0,1.0,0.01
1025,1000.0,4825.1641,-1119.2639,0.5001,0.3675093419672838,0.565916646480894,-0.003599074595197336,0.23718354097264485,0.9714581898124776,13.721980495113913,359.1306481108619,1.0,water,SF,1.0,1.0,0.01
1026,1000.0,5328.3034,-1244.6822,0.5001,0.37981175313221793,0.5628500057032663,0.007375409187846676,0.2149423192802407,0.97659889551532,12.419564845043656,1.965243917406035,1.0,water,SF,1.0,1.0,0.01
1027,1000.0,5734.9101,-1294.0895,0.5001,0.38975381650476115,0.5616419328710521,0.024434000677152012,0.05877147008556335,0.9979723913590449,3.6492457072793396,22.574900816158895,1.0,water,SF,1.0,1.0,0.01
1028,1000.0,5948.4518,-1394.8042,0.5001,0.39497518918278296,0.5591793272869664,-3.6875860234822786e-19,-0.09678103517261152,0.9953056973769002,5.553838040547678,180.0,1.0,water,SF,1.0,1.0,0.01
1029,1000.0,6296.5539,-1244.6822,0.5001,0.4034867388899456,0.5628500057032663,3.454552577097712e-18,-0.3167026101415259,0.9485248846127047,18.463629453705405,180.0,1.0,water,SF,1.0,1.0,0.01
1030,1000.0,6491.0816,-1119.2639,0.5001,0.4082431945044622,0.565916646480894,7.104752840503885e-19,-0.197236981503978,0.9803558400535999,11.37543154421769,180.0,1.0,water,SF,1.0,1.0,0.01
1031,1000.0,6839.1838,-1067.9563,0.5001,0.4167547466567551,0.567171184123026,1.498975384569109e-18,0.17285790351979805,0.9849467727703564,9.954025366849711,4.96852972186908e-16,1.0,water,SF,1.0,1.0,0.01
1032,1000.0,7071.7394,-1269.3858,0.5001,0.42244103395315186,0.5622459705097244,2.5486112602276617e-18,0.3784134339601869,0.925636685205626,22.23544167917235,3.8588658785809997e-16,1.0,water,SF,1.0,1.0,0.01
1033,1000.0,7400.8276,-1370.1006,0.5001,0.4304876690419395,0.5597833624805083,1.2012203108055252e-18,0.36406346159741804,0.9313741439022801,21.349957895394752,1.8904631014758694e-16,1.0,water,SF,1.0,1.0,0.01
1034,1000.0,7614.3693,-1495.5189,0.5001,0.43570904171996133,0.5567167217028807,-3.5926262416920896e-21,0.24114120954009405,0.9704900396508666,13.953905253520475,360.0,1.0,water,SF,1.0,1.0,0.01
1035,1000.0,7943.4575,-1495.5189,0.5001,0.44375567680874906,0.5567167217028807,-3.300776545491783e-19,0.1360965822171942,0.9906955739826431,7.82203469661001,360.0,1.0,water,SF,1.0,1.0,0.01
1036,1000.0,8176.0131,-1571.5301,0.5001,0.4494419641051458,0.5548581488672066,9.228895423969193e-20,0.038052291863185664,0.9992757492724214,2.1807622228602153,1.3896055440292873e-16,1.0,water,SF,1.0,1.0,0.01
1037,1000.0,8427.5828,-1522.1228,0.5001,0.455593170910178,0.5560662216994208,-1.2126548308322491e-18,-0.0028052658204519238,0.999996065234097,0.16073010273810684,180.00000000000003,1.0,water,SF,1.0,1.0,0.01
1038,1000.0,8641.1244,-1522.1228,0.5001,0.4608145411430696,0.5560662216994208,-0.0,0.007561393901882037,0.9999714122525006,0.43324008627440963,-0.0,1.0,water,SF,1.0,1.0,0.01
1039,1000.0,8815.1755,-1571.5301,0.5001,0.465070317219216,0.5548581488672066,-0.003055718922349028,0.00836999117348662,0.9999603021268512,0.5105316685666782,339.94385779256055,1.0,water,SF,1.0,1.0,0.01
1040,1000.0,9104.7731,-1522.1228,0.5001,0.4721513557061283,0.5560662216994208,-0.0,0.023646157931718204,0.9997203905168026,1.3549513392892625,-0.0,1.0,water,SF,1.0,1.0,0.01
1041,1000.0,9686.8936,-1571.5301,0.5001,0.48638496007481313,0.5548581488672066,2.9612623042265297e-19,0.10397287701543974,0.994580132943109,5.967992846896287,1.6318470444765136e-16,1.0,water,SF,1.0,1.0,0.01
1042,1000.0,10093.5003,-1622.8376,0.5001,0.49632702344735635,0.5536036136702048,-1.089762296197157e-18,0.22466368428387143,0.9744363647586214,12.983102383872392,360.0,1.0,water,SF,1.0,1.0,0.01
1043,1000.0,10383.0979,-1748.2559,0.5001,0.5034080619342687,0.5505369728925771,-1.0932771445310512e-18,0.22538829989880627,0.9742690153488027,13.025712636828404,360.0,1.0,water,SF,1.0,1.0,0.01
1044,1000.0,10789.7046,-1797.6632,0.5001,0.5133501253068119,0.549328900060363,-6.430894755594603e-20,0.11750511876896585,0.9930722768575766,6.748137662040832,360.0,1.0,water,SF,1.0,1.0,0.01
1045,1000.0,10925.7277,-1848.9707,0.5001,0.516676067255948,0.5480743648633611,3.4670416086226325e-19,0.0714759855499461,0.9974423208836007,4.0987673486410285,2.779211088058574e-16,1.0,water,SF,1.0,1.0,0.01
1046,1000.0,11273.8299,-1797.6632,0.5001,0.5251876194082409,0.549328900060363,-0.020981971528123176,0.2011985739145511,0.9793257326985461,11.67088454272667,354.04643593317365,1.0,water,SF,1.0,1.0,0.01
1047,1000.0,11468.3576,-1898.3779,0.5001,0.5299440750227574,0.5468662944762772,-4.9045961623315125e-18,0.29435075034835845,0.9556974603761164,17.118609612843386,360.0,1.0,water,SF,1.0,1.0,0.01
1048,1000.0,11738.9412,-2023.7963,0.5001,0.5365601964461646,0.5437996512535193,1.2126220133429145e-18,0.007873587978661169,0.9999690028257587,0.4511280220431657,8.824201075482198e-15,1.0,water,SF,1.0,1.0,0.01
1049,1000.0,11816.4598,-2023.7963,0.5001,0.5384556271750504,0.5437996512535193,-1.2126220133429145e-18,0.007873587978661186,0.9999690028257587,0.4511280220431657,360.0,1.0,water,SF,1.0,1.0,0.01
1050,1000.0,12338.613,-1748.2559,0.5001,0.5512229529583594,0.5505369728925771,1.6610638265466728e-18,-0.17122115547807784,0.9852326202053766,9.858827199944686,180.0,1.0,water,SF,1.0,1.0,0.01
1051,1000.0,12648.6872,-1748.2559,0.5001,0.558804670983642,0.5505369728925771,0.0209405009123668,-0.023372641478167158,0.9995074862410348,1.798310335350468,138.14154463464192,1.0,water,SF,1.0,1.0,0.01
1052,1000.0,12900.2568,-1822.3668,0.5001,0.5649558753435439,0.5487248648668209,4.637773292190408e-19,-0.07682477316468693,0.9970446099489203,4.406076678584971,180.0,1.0,water,SF,1.0,1.0,0.01
1053,1000.0,13153.2891,-1672.2448,0.5001,0.571142844623441,0.5523955432831209,-6.043278017070555e-19,0.0004127184229904495,0.9999999148317481,0.0236470244263581,359.99999999999994,1.0,water,SF,1.0,1.0,0.01
1054,1000.0,13365.3682,-1721.652,0.5001,0.5763284548265979,0.551187472896037,0.033273391122067585,0.17131860601095014,0.9846536531581563,10.050718443964428,10.99111412704596,1.0,water,SF,1.0,1.0,0.01
1055,1000.0,13637.4144,-1898.3779,0.5001,0.58298033872487,0.5468662944762772,2.558143962630803e-18,0.1570355894677599,0.987592944304744,9.034872898214221,9.333607301528857e-16,1.0,water,SF,1.0,1.0,0.01
1056,1000.0,14063.0351,-1898.3779,0.5001,0.5933873191609184,0.5468662944762772,2.9223549988138964e-18,-0.1180722895029198,0.9930050022288602,6.780861956082867,180.0,1.0,water,SF,1.0,1.0,0.01
1057,1000.0,14295.5908,-1772.9596,0.5001,0.5990736089024453,0.5499329352539049,-2.3285818222942934e-18,-0.2796104047101477,0.9601135461901511,16.23695382758704,180.0,1.0,water,SF,1.0,1.0,0.01
1058,1000.0,14643.6929,-1622.8376,0.5001,0.607585158609608,0.5536036136702048,-2.199112697937514e-18,-0.0795541674717119,0.9968305444948419,4.562939736326066,180.0,1.0,water,SF,1.0,1.0,0.01
1059,1000.0,14972.7811,-1647.5412,0.5001,0.6156317936983957,0.5529995784766628,-4.561535078517514e-18,0.3400733567235574,0.9403989111258968,19.881343419557233,360.0,1.0,water,SF,1.0,1.0,0.01
1060,1000.0,15186.3228,-1949.6854,0.5001,0.6208531663764175,0.5456117592792753,-6.97415929796009e-18,0.41342762725080107,0.9105369827886028,24.420335645046528,360.0,1.0,water,SF,1.0,1.0,0.01
1061,1000.0,15456.9064,-2075.1038,0.5001,0.6274692877998247,0.5425451160565175,-0.04952895532800636,0.2533501328831837,0.9661058910658756,14.960086471994659,348.93841201244265,1.0,water,SF,1.0,1.0,0.01
1062,1000.0,15922.0177,-1999.0927,0.5001,0.6388418648377484,0.5444036864470612,1.7089451638222862e-18,-0.03415309970171672,0.999416612720023,1.9572090886315046,180.0,1.0,water,SF,1.0,1.0,0.01
1063,1000.0,16290.5965,-1949.6854,0.5001,0.6478540965284114,0.5456117592792753,3.508925457489782e-18,0.3758964336270859,0.9266616810823882,22.07972874438598,5.348457749392418e-16,1.0,water,SF,1.0,1.0,0.01
1064,1000.0,16464.6475,-2099.8074,0.5001,0.6521098701594277,0.5419410808629754,4.143758196046883e-18,0.5198284303414809,0.8542706848585595,31.32074364847961,4.567273394421046e-16,1.0,water,SF,1.0,1.0,0.01
1065,1000.0,16638.6986,-2301.2369,0.5001,0.656365646235574,0.5370158672496738,0.020225822771076783,0.4681151471714394,0.8834359767871662,27.940337663802943,2.4740364928073997,1.0,water,SF,1.0,1.0,0.01
1066,1000.0,16793.7357,-2426.6553,0.5001,0.6601565052482153,0.5339492240269158,-0.025983922734567202,0.21872977971664262,0.9754394492865425,12.724759599280851,353.22531862776515,1.0,water,SF,1.0,1.0,0.01
1067,1000.0,17064.3193,-2325.9405,0.5001,0.6667726266716225,0.5364118320561317,0.032941496001963756,0.24285982151636662,0.9695019159002168,14.186782006317905,7.724455311975154,1.0,water,SF,1.0,1.0,0.01
1068,1000.0,17160.8519,-2451.3589,0.5001,0.6691329744640134,0.5333451888333738,-0.0,0.24049535057865118,0.9706502904496818,13.915778189019257,-0.0,1.0,water,SF,1.0,1.0,0.01
1069,1000.0,17355.3796,-2401.9516,0.5001,0.6738894300785301,0.534553261665588,1.6998608198108041e-18,0.3559411597715563,0.9345083684914114,20.851136911739065,2.7362626676081904e-16,1.0,water,SF,1.0,1.0,0.01
1070,1000.0,17529.4307,-2652.7884,0.5001,0.6781452061546764,0.5284199752200721,-0.04410396162227936,0.5513610884338686,0.8331001084685083,33.581476294856486,355.4265873236722,1.0,water,SF,1.0,1.0,0.01
1071,1000.0,17606.9492,-2829.5142,0.5001,0.680040634438432,0.5240987992454426,-0.0,0.21114923719001674,0.9774538350398315,12.189708976734046,-0.0,1.0,water,SF,1.0,1.0,0.01
1072,1000.0,17858.5188,-2679.3923,0.5001,0.6861918387983339,0.5277694752166122,-0.0,0.17264090898192952,0.9849848306171487,9.941402724392866,-0.0,1.0,water,SF,1.0,1.0,0.01
1073,1000.0,18110.0885,-2753.5031,0.5001,0.6923430456033661,0.5259573696359864,-0.0,0.019131880065765654,0.9998169688323704,1.0962428649389897,-0.0,1.0,water,SF,1.0,1.0,0.01
1074,1000.0,18613.2277,-2728.7995,0.5001,0.7046454543231699,0.5265614048295283,1.2108059178172448e-18,0.055271013370385785,0.9984713892150394,3.168410382209449,1.2551618772664438e-15,1.0,water,SF,1.0,1.0,0.01
1075,1000.0,19000.8205,-2829.5142,0.5001,0.7141226030773382,0.5240987992454426,-1.2033272908202471e-18,-0.12382347591979964,0.9923042612077905,7.112818083215857,180.0,1.0,water,SF,1.0,1.0,0.01
1076,1000.0,19350.3853,-2728.7995,0.5001,0.7226699177044962,0.5265614048295283,-0.039650443250025376,-0.31334965129869463,0.9488096955559967,18.41203372247103,187.21172998394513,1.0,water,SF,1.0,1.0,0.01
1077,1000.0,19776.006,-2401.9516,0.5001,0.7330768981405446,0.534553261665588,3.59196181575279e-18,-0.5791448286201891,0.8152246730089145,35.39041689451411,180.0,1.0,water,SF,1.0,1.0,0.01
1078,1000.0,20182.6127,-2075.1038,0.5001,0.7430189615130878,0.5425451160565175,-8.307915178332686e-19,-0.6000542009483638,0.7999593464196918,36.87377960146073,180.0,1.0,water,SF,1.0,1.0,0.01
1079,1000.0,20453.1963,-1898.3779,0.5001,0.7496350829364948,0.5468662944762772,-1.6689941363475944e-18,-0.596185351932089,0.8028468260768123,36.59717935684016,180.0,1.0,water,SF,1.0,1.0,0.01
1080,0.0,23.4018,-36.1053,0.4756486976172719,0.2501,0.5924012849379464,-0.0018309239653998576,0.38266236844666074,0.9238864429637578,22.49896533698969,359.72585907590616,1.0,water,SF,1.0,1.0,0.01
1081,0.0,274.9715,-62.7092,0.4756486976172719,0.2562512068050322,0.5917507849344865,-0.027807994857902106,0.3718126171871239,0.9278912075897928,21.891556850073812,355.72279186841774,1.0,water,SF,1.0,1.0,0.01
1082,0.0,545.5551,-212.8312,0.4756486976172719,0.2628673282284393,0.5880801065181867,-0.010020317131665088,0.37932776875104623,0.9252081047520788,22.300243648493375,358.4868273756432,1.0,water,SF,1.0,1.0,0.01
1083,0.0,778.1107,-389.557,0.4756486976172719,0.26855361552483603,0.5837589305435571,-0.01525129651504489,0.43161328028916424,0.901929805601654,25.587097474022297,357.9762636046516,1.0,water,SF,1.0,1.0,0.01
1084,0.0,1069.1709,-389.557,0.4756486976172719,0.2756704164866134,0.5837589305435571,0.0007640192575371447,0.4278767683534527,0.9038367592535612,25.33293304746054,0.1023075699299083,1.0,water,SF,1.0,1.0,0.01
1085,0.0,1243.222,-539.679,0.4756486976172719,0.27992619256275986,0.5800882521272572,-0.041079087365794006,0.4660247404556105,0.8838175433111036,27.893642806794862,354.9625194119021,1.0,water,SF,1.0,1.0,0.01
1086,0.0,1455.3011,-691.7013,0.4756486976172719,0.28511180276591663,0.5763711089010394,-0.016320337039132396,0.6173096204806614,0.7865510021994446,38.135644585269034,358.4855757462864,1.0,water,SF,1.0,1.0,0.01
1087,0.0,1649.8288,-741.1085,0.4756486976172719,0.2898682583804333,0.5751630385139554,-0.009706300693588066,0.6027376352910466,0.7978803987632501,37.07183061186864,359.07740621155807,1.0,water,SF,1.0,1.0,0.01
1088,0.0,1765.3753,-967.2416,0.4756486976172719,0.29269352079119915,0.5696337897071118,0.07561274463277183,0.43885291716555413,0.8953718947702025,26.443761471338394,9.775870746425944,1.0,water,SF,1.0,1.0,0.01
