X,Y,Z,azimuth,dip,polarity,formation
2000,33750,-4000,0,270,1,FALHA_1
0,33750,-4000,0,270,1,FALHA_1
4000,33750,-4000,0,270,1,FALHA_1
2000,27500,-2300,0,0,1,UBV
2000,27500,-3000,0,0,1,LBV
2000,27500,-4600,0,0,1,ITAPEMA
2000,27500,-6500,0,0,1,CAMBORIU
0,27500,-2300,0,0,1,UBV
0,27500,-3000,0,0,1,LBV
0,27500,-4600,0,0,1,ITAPEMA
0,27500,-6500,0,0,1,CAMBORIU
4000,27500,-2300,0,0,1,UBV
4000,27500,-3000,0,0,1,LBV
4000,27500,-4600,0,0,1,ITAPEMA
4000,27500,-6500,0,0,1,CAMBORIU
2000,20000,-1700,0,0,1,UBV
2000,20000,-2300,0,0,1,LBV
2000,20000,-3700,0,0,1,ITAPEMA
2000,20000,-5000,0,0,1,CAMBORIU
0,20000,-1700,0,0,1,UBV
0,20000,-2300,0,0,1,LBV
0,20000,-3700,0,0,1,ITAPEMA
0,20000,-5000,0,0,1,CAMBORIU
4000,20000,-1700,0,0,1,UBV
4000,20000,-2300,0,0,1,LBV
4000,20000,-3700,0,0,1,ITAPEMA
4000,20000,-5000,0,0,1,CAMBORIU
2000,35000,-2400,0,0,1,UBV
2000,35800,-3500,0,20,1,LBV
2000,34375,-4500,0,20,1,ITAPEMA
2000,33425,-6200,0,20,1,CAMBORIU
0,35000,-2400,0,0,1,UBV
0,35800,-3500,0,20,1,LBV
0,34375,-4500,0,20,1,ITAPEMA
0,33425,-6200,0,20,1,CAMBORIU
4000,35000,-2400,0,0,1,UBV
4000,35800,-3500,0,20,1,LBV
4000,34375,-4500,0,20,1,ITAPEMA
4000,33425,-6200,0,20,1,CAMBORIU
