Model_ID,range,$C_o$,drift equations
StratBR2GemPy_100x_100y_100z_2024-03-14-10-33-54,232996.2446049292,1292553571.4285715,[3 3]
StratBR2GemPy_100x_100y_100z_2024-03-14-10-33-54,232996.2446049292,1292553571.4285715,[3 3]
