,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
42,431530.495,7784001.447,-1567.33,0.3851666611427206,0.5566860982375601,0.5006299834907162,h0,Sea_floor,1,1,2e-06
43,430994.085,7784271.61,-1552.87,0.3782906557187254,0.5601491996960849,0.5008153399129137,h0,Sea_floor,1,1,2e-06
44,429994.292,7784751.5,-1438.73,0.3654747460770842,0.5663006999345571,0.5022784507033443,h0,Sea_floor,1,1,2e-06
45,429484.189,7785005.331,-1402.77,0.35893595859214467,0.5695544486207856,0.5027394062318521,h0,Sea_floor,1,1,2e-06
46,428998.756,7785240.323,-1375.78,0.35271340505849214,0.572566708397063,0.5030853792494947,h0,Sea_floor,1,1,2e-06
47,427987.437,7785729.89,-1316.85,0.3397497486587422,0.5788422538705029,0.5038407771720466,h0,Sea_floor,1,1,2e-06
48,427421.098,7786004.047,-1273.41,0.3324900964602,0.5823565526699854,0.5043976155524241,h0,Sea_floor,1,1,2e-06
49,426989.602,7786212.929,-1244.48,0.3269589377636204,0.58503411976413,0.5047684565824501,h0,Sea_floor,1,1,2e-06
50,425993.59,7786700.934,-1136.63,0.3141914951090007,0.5912896426420453,0.506150938611081,h0,Sea_floor,1,1,2e-06
51,425405.0,7787001.0,-1071.85,0.30664661706327134,0.5951360575924642,0.5069813251276755,h0,Sea_floor,1,1,2e-06
52,424998.2,7787192.52,-1013.69,0.3014320256006191,0.5975910687943443,0.5077268527566525,h0,Sea_floor,1,1,2e-06
53,423994.76,7787664.936,-841.7,0.2885693666594098,0.6036467630923322,0.509931517421504,h0,Sea_floor,1,1,2e-06
54,423281.01,7788012.861,-700.27,0.2794201172580623,0.6081066616533999,0.5117444467985023,h0,Sea_floor,1,1,2e-06
55,422999.485,7788153.208,-629.65,0.2758113712857827,0.609905708526579,0.5126496937235085,h0,Sea_floor,1,1,2e-06
56,421937.866,7788675.622,-151.73,0.2622029411628978,0.6166023053416584,0.5187759413927092,h0,Sea_floor,1,1,2e-06
57,421263.457,7789000.819,-95.72,0.25355798685184594,0.6207708636009469,0.5194939091110552,h0,Sea_floor,1,1,2e-06
58,420993.693,7789130.898,-90.45,0.2501000000000003,0.6224382894683753,0.5195614629385089,h0,Sea_floor,1,1,2e-06
59,456163.305,7771924.237,-2457.36,0.7009238900688236,0.4018736199714341,0.489221077788886,h1,Strat_1,2,2,2e-06
60,456002.932,7772004.169,-2458.6,0.698868138651321,0.40289823335588076,0.4892051827706616,h1,Strat_1,2,2,2e-06
61,455989.568,7772010.831,-2458.26,0.6986968313742645,0.4029836306231538,0.48920954108211023,h1,Strat_1,2,2,2e-06
62,454989.898,7772493.432,-2430.47,0.6858824984158821,0.40916988198614895,0.4895657689502202,h1,Strat_1,2,2,2e-06
63,453989.662,7772978.517,-2418.62,0.6730609101507949,0.41538797465984745,0.4897176689227679,h1,Strat_1,2,2,2e-06
64,453936.07,7773005.423,-2417.87,0.6723739377179865,0.4157328709181964,0.4897272828450811,h1,Strat_1,2,2,2e-06
65,452998.209,7773476.269,-2402.41,0.6603519073252755,0.4217684400721382,0.4899254578303628,h1,Strat_1,2,2,2e-06
66,451993.358,7773980.746,-2383.63,0.6474711613915549,0.42823511032116535,0.4901661904450841,h1,Strat_1,2,2,2e-06
