,time_d,northing_d,easting_d,estrutural
80575,90.5,7651000.0,515000.0,-3697.17
80576,90.5,7651000.0,516000.0,-4490.37
80577,90.5,7651000.0,517000.0,-6009.32
80578,90.5,7651000.0,518000.0,-5900.98
80579,90.5,7651000.0,519000.0,-4397.11
80580,90.5,7651000.0,520000.0,-4807.43
80581,90.5,7651000.0,521000.0,-6670.07
80582,90.5,7651000.0,522000.0,-7288.42
80583,90.5,7651000.0,523000.0,-7052.88
80584,90.5,7651000.0,524000.0,-7133.4
80585,90.5,7651000.0,525000.0,-7299.82
80586,90.5,7651000.0,526000.0,-7067.58
80587,90.5,7651000.0,527000.0,-6606.17
80588,90.5,7651000.0,528000.0,-6315.89
80589,90.5,7651000.0,529000.0,-6151.78
80590,90.5,7651000.0,530000.0,-6191.2
80591,90.5,7651000.0,531000.0,-6631.88
80592,90.5,7651000.0,532000.0,-7057.06
80593,90.5,7651000.0,533000.0,-7101.0
80594,90.5,7651000.0,534000.0,-6850.96
80595,90.5,7651000.0,535000.0,-6126.31
80596,90.5,7651000.0,536000.0,-4731.87
80597,90.5,7651000.0,537000.0,-3555.93
80598,90.5,7651000.0,538000.0,-3449.68
80599,90.5,7651000.0,539000.0,-3739.6
80600,90.5,7651000.0,540000.0,-3762.16
80601,90.5,7651000.0,541000.0,-3650.91
80602,90.5,7651000.0,542000.0,-3546.35
80603,90.5,7651000.0,543000.0,-3470.6
80604,90.5,7651000.0,544000.0,-3391.73
80605,90.5,7651000.0,545000.0,-3235.96
80606,90.5,7651000.0,546000.0,-3003.43
80607,90.5,7651000.0,547000.0,-2839.63
80608,90.5,7651000.0,548000.0,-2818.6
80609,90.5,7651000.0,549000.0,-2874.61
80610,90.5,7651000.0,550000.0,-2968.98
80611,90.5,7651000.0,551000.0,-3516.65
80612,90.5,7651000.0,552000.0,-4693.6
80613,90.5,7651000.0,553000.0,-5659.29
80614,90.5,7651000.0,554000.0,-6024.63
80615,90.5,7651000.0,555000.0,-6192.42
80616,90.5,7651000.0,556000.0,-6341.85
80617,90.5,7651000.0,557000.0,-6478.95
80618,90.5,7651000.0,558000.0,-6602.62
80619,90.5,7651000.0,559000.0,-6671.85
80620,90.5,7651000.0,560000.0,-6669.81
80621,90.5,7651000.0,561000.0,-6632.56
80622,90.5,7651000.0,562000.0,-6588.17
80623,90.5,7651000.0,563000.0,-6535.75
80624,90.5,7651000.0,564000.0,-6468.16
80625,90.5,7651000.0,565000.0,-6385.03
80626,90.5,7651000.0,566000.0,-6295.88
80627,90.5,7651000.0,567000.0,-6215.94
80628,90.5,7651000.0,568000.0,-6158.91
80629,90.5,7651000.0,569000.0,-6128.88
80630,90.5,7651000.0,570000.0,-6120.25
80631,90.5,7651000.0,571000.0,-6121.17
80632,90.5,7651000.0,572000.0,-6119.43
80633,90.5,7651000.0,573000.0,-6103.01
80634,90.5,7651000.0,574000.0,-6045.29
80635,90.5,7651000.0,575000.0,-5963.69
80636,90.5,7651000.0,576000.0,-5917.34
80637,90.5,7651000.0,577000.0,-5895.98
80638,90.5,7651000.0,578000.0,-5864.26
80639,90.5,7651000.0,579000.0,-5977.22
80640,90.5,7652000.0,400000.0,-3329.13
80641,90.5,7652000.0,401000.0,-3393.12
80642,90.5,7652000.0,402000.0,-3525.32
80643,90.5,7652000.0,403000.0,-3648.52
80644,90.5,7652000.0,404000.0,-3767.14
80645,90.5,7652000.0,405000.0,-3929.21
80646,90.5,7652000.0,406000.0,-4127.89
80647,90.5,7652000.0,407000.0,-4284.85
80648,90.5,7652000.0,408000.0,-4340.53
80649,90.5,7652000.0,409000.0,-4357.89
80650,90.5,7652000.0,410000.0,-4390.8
80651,90.5,7652000.0,411000.0,-4385.2
80652,90.5,7652000.0,412000.0,-4331.62
80653,90.5,7652000.0,413000.0,-4223.89
80654,90.5,7652000.0,414000.0,-4043.23
80655,90.5,7652000.0,415000.0,-3902.38
80656,90.5,7652000.0,416000.0,-3900.81
80657,90.5,7652000.0,417000.0,-3957.06
80658,90.5,7652000.0,418000.0,-3991.36
80659,90.5,7652000.0,419000.0,-4031.08
80660,90.5,7652000.0,420000.0,-4091.83
80661,90.5,7652000.0,421000.0,-4142.57
80662,90.5,7652000.0,422000.0,-4138.79
80663,90.5,7652000.0,423000.0,-4063.08
80664,90.5,7652000.0,424000.0,-3975.55
80665,90.5,7652000.0,425000.0,-3942.02
80666,90.5,7652000.0,426000.0,-3957.92
80667,90.5,7652000.0,427000.0,-4032.0
80668,90.5,7652000.0,428000.0,-4180.7
80669,90.5,7652000.0,429000.0,-4347.51
80670,90.5,7652000.0,430000.0,-4393.38
80671,90.5,7652000.0,431000.0,-4215.88
80672,90.5,7652000.0,432000.0,-3980.09
80673,90.5,7652000.0,433000.0,-3951.21
80674,90.5,7652000.0,434000.0,-4147.98
80675,90.5,7652000.0,435000.0,-4438.68
80676,90.5,7652000.0,436000.0,-4715.52
80677,90.5,7652000.0,437000.0,-4914.85
80678,90.5,7652000.0,438000.0,-5029.58
80679,90.5,7652000.0,439000.0,-5017.77
80680,90.5,7652000.0,440000.0,-4742.96
80681,90.5,7652000.0,441000.0,-4325.44
80682,90.5,7652000.0,442000.0,-4161.94
80683,90.5,7652000.0,443000.0,-4290.86
80684,90.5,7652000.0,444000.0,-4460.76
80685,90.5,7652000.0,445000.0,-4576.13
80686,90.5,7652000.0,446000.0,-4638.81
80687,90.5,7652000.0,447000.0,-4676.08
80688,90.5,7652000.0,448000.0,-4734.62
80689,90.5,7652000.0,449000.0,-4828.18
80690,90.5,7652000.0,450000.0,-4958.16
80691,90.5,7652000.0,451000.0,-5113.62
80692,90.5,7652000.0,452000.0,-5206.54
80693,90.5,7652000.0,453000.0,-5137.38
80694,90.5,7652000.0,454000.0,-4974.0
80695,90.5,7652000.0,455000.0,-4886.86
80696,90.5,7652000.0,456000.0,-4932.66
80697,90.5,7652000.0,457000.0,-5067.31
80698,90.5,7652000.0,458000.0,-5245.3
80699,90.5,7652000.0,459000.0,-5405.49
80700,90.5,7652000.0,460000.0,-5478.17
80701,90.5,7652000.0,461000.0,-5476.15
80702,90.5,7652000.0,462000.0,-5474.35
80703,90.5,7652000.0,463000.0,-5447.37
80704,90.5,7652000.0,464000.0,-5289.07
80705,90.5,7652000.0,465000.0,-4841.53
80706,90.5,7652000.0,466000.0,-3988.33
80707,90.5,7652000.0,467000.0,-3067.06
80708,90.5,7652000.0,468000.0,-2522.73
80709,90.5,7652000.0,469000.0,-2283.24
80710,90.5,7652000.0,470000.0,-2127.73
80711,90.5,7652000.0,471000.0,-2030.68
80712,90.5,7652000.0,472000.0,-2044.18
80713,90.5,7652000.0,473000.0,-2204.65
80714,90.5,7652000.0,474000.0,-2535.11
80715,90.5,7652000.0,475000.0,-3019.41
80716,90.5,7652000.0,476000.0,-3501.47
80717,90.5,7652000.0,477000.0,-3797.57
80718,90.5,7652000.0,478000.0,-3863.25
80719,90.5,7652000.0,479000.0,-3765.46
80720,90.5,7652000.0,480000.0,-3632.02
80721,90.5,7652000.0,481000.0,-3588.22
80722,90.5,7652000.0,482000.0,-3613.34
80723,90.5,7652000.0,483000.0,-3653.73
80724,90.5,7652000.0,484000.0,-3815.6
80725,90.5,7652000.0,485000.0,-4257.62
80726,90.5,7652000.0,486000.0,-4932.88
80727,90.5,7652000.0,487000.0,-5566.19
80728,90.5,7652000.0,488000.0,-6076.22
80729,90.5,7652000.0,489000.0,-6585.69
80730,90.5,7652000.0,490000.0,-7006.23
80731,90.5,7652000.0,491000.0,-7118.95
80732,90.5,7652000.0,492000.0,-6848.13
80733,90.5,7652000.0,493000.0,-6446.77
80734,90.5,7652000.0,494000.0,-6148.74
80735,90.5,7652000.0,495000.0,-5660.52
80736,90.5,7652000.0,496000.0,-4605.68
80737,90.5,7652000.0,497000.0,-3566.27
80738,90.5,7652000.0,498000.0,-3295.34
80739,90.5,7652000.0,499000.0,-3545.32
80740,90.5,7652000.0,500000.0,-4219.02
80741,90.5,7652000.0,501000.0,-5155.34
80742,90.5,7652000.0,502000.0,-5633.67
80743,90.5,7652000.0,503000.0,-5364.42
80744,90.5,7652000.0,504000.0,-4523.28
80745,90.5,7652000.0,505000.0,-3556.34
80746,90.5,7652000.0,506000.0,-3024.17
80747,90.5,7652000.0,507000.0,-3145.56
80748,90.5,7652000.0,508000.0,-3611.55
80749,90.5,7652000.0,509000.0,-3982.54
80750,90.5,7652000.0,510000.0,-4184.85
80751,90.5,7652000.0,511000.0,-4331.85
80752,90.5,7652000.0,512000.0,-4376.2
80753,90.5,7652000.0,513000.0,-4224.6
80754,90.5,7652000.0,514000.0,-3821.79
80755,90.5,7652000.0,515000.0,-3651.88
80756,90.5,7652000.0,516000.0,-4608.82
80757,90.5,7652000.0,517000.0,-6153.75
80758,90.5,7652000.0,518000.0,-6239.2
80759,90.5,7652000.0,519000.0,-5088.09
80760,90.5,7652000.0,520000.0,-5375.82
80761,90.5,7652000.0,521000.0,-6790.14
80762,90.5,7652000.0,522000.0,-7122.39
80763,90.5,7652000.0,523000.0,-6709.11
80764,90.5,7652000.0,524000.0,-6647.55
80765,90.5,7652000.0,525000.0,-6856.43
80766,90.5,7652000.0,526000.0,-6906.8
80767,90.5,7652000.0,527000.0,-6729.17
80768,90.5,7652000.0,528000.0,-6463.2
80769,90.5,7652000.0,529000.0,-6169.29
80770,90.5,7652000.0,530000.0,-6059.22
