time,X,Y,Z,litho
92.5,400000.0,7651000.0,-3390.71,9.0
92.5,401000.0,7651000.0,-3451.24,9.0
92.5,402000.0,7651000.0,-3575.43,9.0
92.5,403000.0,7651000.0,-3687.82,46.0
92.5,404000.0,7651000.0,-3803.65,46.0
92.5,405000.0,7651000.0,-3978.74,37.0
92.5,406000.0,7651000.0,-4192.39,37.0
92.5,407000.0,7651000.0,-4349.64,16.0
92.5,408000.0,7651000.0,-4393.09,37.0
92.5,409000.0,7651000.0,-4386.39,28.0
92.5,410000.0,7651000.0,-4387.52,28.0
92.5,411000.0,7651000.0,-4364.62,24.0
92.5,412000.0,7651000.0,-4304.6,25.0
92.5,413000.0,7651000.0,-4188.95,25.0
92.5,414000.0,7651000.0,-4008.36,25.0
92.5,415000.0,7651000.0,-3871.44,25.0
92.5,416000.0,7651000.0,-3877.16,25.0
92.5,417000.0,7651000.0,-3964.58,25.0
92.5,418000.0,7651000.0,-4044.62,25.0
92.5,419000.0,7651000.0,-4117.46,25.0
92.5,420000.0,7651000.0,-4193.92,25.0
92.5,421000.0,7651000.0,-4253.95,25.0
92.5,422000.0,7651000.0,-4262.37,25.0
92.5,423000.0,7651000.0,-4198.95,25.0
92.5,424000.0,7651000.0,-4112.01,25.0
92.5,425000.0,7651000.0,-4056.14,25.0
92.5,426000.0,7651000.0,-4033.25,25.0
92.5,427000.0,7651000.0,-4083.2,25.0
92.5,428000.0,7651000.0,-4253.59,25.0
92.5,429000.0,7651000.0,-4481.71,25.0
92.5,430000.0,7651000.0,-4624.45,25.0
92.5,431000.0,7651000.0,-4570.87,25.0
92.5,432000.0,7651000.0,-4368.47,25.0
92.5,433000.0,7651000.0,-4183.32,25.0
92.5,434000.0,7651000.0,-4157.31,25.0
92.5,435000.0,7651000.0,-4345.71,24.0
92.5,436000.0,7651000.0,-4644.34,24.0
92.5,437000.0,7651000.0,-4885.15,24.0
92.5,438000.0,7651000.0,-5021.65,24.0
92.5,439000.0,7651000.0,-5040.1,24.0
92.5,440000.0,7651000.0,-4820.3,21.0
92.5,441000.0,7651000.0,-4430.58,21.0
92.5,442000.0,7651000.0,-4237.24,21.0
92.5,443000.0,7651000.0,-4347.19,21.0
92.5,444000.0,7651000.0,-4539.17,21.0
92.5,445000.0,7651000.0,-4682.69,21.0
92.5,446000.0,7651000.0,-4763.54,21.0
92.5,447000.0,7651000.0,-4795.59,16.0
92.5,448000.0,7651000.0,-4809.34,16.0
92.5,449000.0,7651000.0,-4836.4,28.0
92.5,450000.0,7651000.0,-4925.35,29.0
92.5,451000.0,7651000.0,-5085.12,29.0
92.5,452000.0,7651000.0,-5211.81,29.0
92.5,453000.0,7651000.0,-5194.41,29.0
92.5,454000.0,7651000.0,-5078.06,29.0
92.5,455000.0,7651000.0,-4999.76,29.0
92.5,456000.0,7651000.0,-5026.01,29.0
92.5,457000.0,7651000.0,-5139.86,29.0
92.5,458000.0,7651000.0,-5295.95,29.0
92.5,459000.0,7651000.0,-5423.42,29.0
92.5,460000.0,7651000.0,-5460.63,29.0
92.5,461000.0,7651000.0,-5440.06,29.0
92.5,462000.0,7651000.0,-5440.15,29.0
92.5,463000.0,7651000.0,-5435.2,29.0
92.5,464000.0,7651000.0,-5314.63,29.0
92.5,465000.0,7651000.0,-4859.35,29.0
92.5,466000.0,7651000.0,-3922.36,29.0
92.5,467000.0,7651000.0,-2945.29,29.0
92.5,468000.0,7651000.0,-2438.16,29.0
92.5,469000.0,7651000.0,-2262.84,29.0
92.5,470000.0,7651000.0,-2137.44,29.0
92.5,471000.0,7651000.0,-2048.94,29.0
92.5,472000.0,7651000.0,-2095.01,29.0
92.5,473000.0,7651000.0,-2324.99,29.0
92.5,474000.0,7651000.0,-2692.27,29.0
92.5,475000.0,7651000.0,-3127.58,29.0
92.5,476000.0,7651000.0,-3545.32,29.0
