time,X,Y,Z,litho
96.5,400000.0,7651000.0,-3452.34,9.0
96.5,401000.0,7651000.0,-3505.78,9.0
96.5,402000.0,7651000.0,-3613.5,9.0
96.5,403000.0,7651000.0,-3709.51,9.0
96.5,404000.0,7651000.0,-3818.21,9.0
96.5,405000.0,7651000.0,-3993.33,9.0
96.5,406000.0,7651000.0,-4207.88,26.0
96.5,407000.0,7651000.0,-4365.31,29.0
96.5,408000.0,7651000.0,-4409.69,44.0
96.5,409000.0,7651000.0,-4405.94,37.0
96.5,410000.0,7651000.0,-4410.16,44.0
96.5,411000.0,7651000.0,-4392.31,38.0
96.5,412000.0,7651000.0,-4341.18,45.0
96.5,413000.0,7651000.0,-4239.49,255.0
96.5,414000.0,7651000.0,-4078.58,255.0
96.5,415000.0,7651000.0,-3961.72,255.0
96.5,416000.0,7651000.0,-3989.5,255.0
96.5,417000.0,7651000.0,-4100.33,255.0
96.5,418000.0,7651000.0,-4190.05,255.0
96.5,419000.0,7651000.0,-4260.48,255.0
96.5,420000.0,7651000.0,-4335.46,255.0
96.5,421000.0,7651000.0,-4393.31,255.0
96.5,422000.0,7651000.0,-4390.93,255.0
96.5,423000.0,7651000.0,-4310.82,255.0
96.5,424000.0,7651000.0,-4224.61,255.0
96.5,425000.0,7651000.0,-4188.88,255.0
96.5,426000.0,7651000.0,-4172.11,255.0
96.5,427000.0,7651000.0,-4208.2,255.0
96.5,428000.0,7651000.0,-4367.87,255.0
96.5,429000.0,7651000.0,-4589.18,255.0
96.5,430000.0,7651000.0,-4710.74,255.0
96.5,431000.0,7651000.0,-4626.35,255.0
96.5,432000.0,7651000.0,-4405.91,255.0
96.5,433000.0,7651000.0,-4216.98,16.0
96.5,434000.0,7651000.0,-4186.94,16.0
96.5,435000.0,7651000.0,-4370.31,16.0
96.5,436000.0,7651000.0,-4671.81,16.0
96.5,437000.0,7651000.0,-4919.75,16.0
96.5,438000.0,7651000.0,-5060.35,21.0
96.5,439000.0,7651000.0,-5080.27,24.0
96.5,440000.0,7651000.0,-4865.92,24.0
96.5,441000.0,7651000.0,-4478.13,25.0
96.5,442000.0,7651000.0,-4272.2,25.0
96.5,443000.0,7651000.0,-4381.55,25.0
96.5,444000.0,7651000.0,-4595.07,25.0
96.5,445000.0,7651000.0,-4756.15,25.0
96.5,446000.0,7651000.0,-4845.83,25.0
96.5,447000.0,7651000.0,-4886.56,25.0
96.5,448000.0,7651000.0,-4904.33,25.0
96.5,449000.0,7651000.0,-4919.77,25.0
96.5,450000.0,7651000.0,-4985.97,25.0
96.5,451000.0,7651000.0,-5129.15,25.0
96.5,452000.0,7651000.0,-5246.34,25.0
96.5,453000.0,7651000.0,-5218.87,25.0
96.5,454000.0,7651000.0,-5096.24,25.0
96.5,455000.0,7651000.0,-5016.87,25.0
96.5,456000.0,7651000.0,-5042.97,25.0
96.5,457000.0,7651000.0,-5156.75,25.0
96.5,458000.0,7651000.0,-5312.8,25.0
96.5,459000.0,7651000.0,-5440.23,25.0
96.5,460000.0,7651000.0,-5477.41,25.0
96.5,461000.0,7651000.0,-5456.8,25.0
96.5,462000.0,7651000.0,-5456.85,25.0
96.5,463000.0,7651000.0,-5451.85,25.0
96.5,464000.0,7651000.0,-5331.23,25.0
96.5,465000.0,7651000.0,-4875.91,25.0
96.5,466000.0,7651000.0,-3938.87,25.0
96.5,467000.0,7651000.0,-2961.74,25.0
96.5,468000.0,7651000.0,-2454.55,25.0
96.5,469000.0,7651000.0,-2279.17,25.0
96.5,470000.0,7651000.0,-2153.71,25.0
96.5,471000.0,7651000.0,-2065.14,25.0
96.5,472000.0,7651000.0,-2111.14,25.0
96.5,473000.0,7651000.0,-2341.05,25.0
96.5,474000.0,7651000.0,-2708.26,25.0
96.5,475000.0,7651000.0,-3143.51,25.0
96.5,476000.0,7651000.0,-3561.17,25.0
96.5,477000.0,7651000.0,-3823.55,25.0
96.5,478000.0,7651000.0,-3870.99,25.0
96.5,479000.0,7651000.0,-3778.6,25.0
96.5,480000.0,7651000.0,-3648.95,25.0
96.5,481000.0,7651000.0,-3582.13,25.0
96.5,482000.0,7651000.0,-3579.15,25.0
96.5,483000.0,7651000.0,-3591.86,25.0
96.5,484000.0,7651000.0,-3758.94,21.0
96.5,485000.0,7651000.0,-4291.82,21.0
96.5,486000.0,7651000.0,-5087.27,21.0
96.5,487000.0,7651000.0,-5776.69,21.0
96.5,488000.0,7651000.0,-6285.9,21.0
96.5,489000.0,7651000.0,-6789.47,21.0
96.5,490000.0,7651000.0,-7260.6,21.0
96.5,491000.0,7651000.0,-7530.86,21.0
96.5,492000.0,7651000.0,-7472.48,21.0
96.5,493000.0,7651000.0,-7252.02,21.0
96.5,494000.0,7651000.0,-7119.57,21.0
96.5,495000.0,7651000.0,-6764.28,21.0
96.5,496000.0,7651000.0,-5628.87,35.0
96.5,497000.0,7651000.0,-4361.09,35.0
96.5,498000.0,7651000.0,-3973.32,35.0
96.5,499000.0,7651000.0,-4144.15,35.0
96.5,500000.0,7651000.0,-4659.53,35.0
96.5,501000.0,7651000.0,-5445.6,16.0
96.5,502000.0,7651000.0,-5857.08,16.0
96.5,503000.0,7651000.0,-5634.93,16.0
