X,Y,Z,azimuth,dip,polarity,formation
2000,32500,-8400,0,180,1,FALHA
2000,35000,-8400,0,30,1,ITAPEMA
2000,34375,-9900,0,30,1,CAMBORIU
2000,35625,-7100,0,30,1,BV_I
2000,20000,-5900,0,0,1,BV_II
2000,28750,-6400,0,0,1,BV_II
2000,30000,-6400,0,0,1,BV_II
2000,31250,-6400,0,0,1,BV_II
2000,20000,-5100,0,0,1,ARIRI
2000,27500,-5000,0,0,1,ARIRI
2000,30625,-3380,0,310,1,CAMBURI_II
2000,28750,-4700,0,310,1,CAMBURI_I
2000,12500,-1200,0,310,1,CAMBURI_II
2000,12500,-1900,0,310,1,CAMBURI_I
2000,12500,-3800,0,310,1,ARIRI
2000,15000,-800,0,30,1,CAMBURI_II
2000,15000,-1750,0,30,1,CAMBURI_I
