,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,formation,series,id,order_series,smooth
1774,440716.008,7798378.513,-3327.57,0.3638510788324081,0.5922853527728964,0.5131125365077625,7.270143696287183e-05,-0.9999999261756617,0.00037731044539010983,89.9783817034,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1775,440803.512,7798378.517,-3326.95,0.3648602957564723,0.5922853989064151,0.5131196872036498,7.270143696287183e-05,-0.9999999261756617,0.00037731044539010983,89.9783817034,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1776,441003.521,7798378.528,-3325.54,0.3671670756495645,0.5922855257735995,0.5131359492701031,7.27014369630003e-05,-0.9999999261756617,0.0003773104453924025,89.97838170339988,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1777,441203.53,7798378.539,-3332.95,0.36947385554265677,0.5922856526407839,0.5130504869208697,7.27014369630003e-05,-0.9999999261756617,0.0003773104453924025,89.97838170339988,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1778,441403.539,7798378.549,-3348.99,0.37178063543574835,0.592285767974586,0.5128654914982378,7.270143696295506e-05,-0.9999999261756617,0.00037731044539156,89.97838170339992,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1779,441603.548,7798378.56,-3364.36,0.3740874153288406,0.5922858948417704,0.5126882234405162,7.270143696281933e-05,-0.9999999261756617,0.0003773104453890325,89.97838170340007,179.99583451419733,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1780,441803.557,7798378.57,-3374.85,0.3763941952219322,0.5922860101755831,0.5125672382794558,5.86078023208596e-05,-0.9999999931192767,0.00010161974208438902,89.99417761765334,179.99664202026122,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1781,442003.566,7798378.581,-3385.34,0.3787009751150245,0.5922861370427676,0.5124462531183954,6.736770097708034e-05,-0.999999959051966,0.0002781324489604406,89.98406418432347,179.9961401149063,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1782,442203.575,7798378.592,-3395.83,0.38100775500811673,0.592286263909952,0.512325267957335,6.002958822430736e-05,-0.9999999866250224,0.00015213942113140658,89.99128305323798,179.99656055790697,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1783,442403.584,7798378.602,-3406.32,0.3833145349012083,0.592286379243754,0.5122042827962745,-4.9269667636130495e-05,0.9999999933971445,0.00010381816148031724,89.99405165749968,359.9971770559701,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1784,442603.593,7798378.613,-3418.04,0.38562131479430056,0.5922865061109385,0.5120691115772442,-4.900476803663424e-05,0.9999999893301271,0.00013761641768027095,89.99211516005032,359.9971922335878,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1785,442803.602,7798378.624,-3419.08,0.3879280946873928,0.5922866329781229,0.5120571168615623,-4.9793335423832185e-05,0.9999999876656241,0.00014896098591979487,89.99146516416313,359.9971470519995,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1786,443003.611,7798378.634,-3420.13,0.3902348745804844,0.592286748311925,0.5120450068120759,-4.798143144330957e-05,0.99999995274891,0.0003036444630978753,89.98260245352463,359.9972508663555,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1787,443203.62,7798378.645,-3421.17,0.39254165447357664,0.5922868751791094,0.512033012096394,6.687661693786981e-05,-0.9999992112159121,0.0012542308686869855,89.9281378458482,179.99616824908463,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1788,443403.628,7798378.655,-3422.22,0.3948484228332886,0.5922869905129221,0.5120209020469074,-5.153111848204927e-05,0.9999999737710797,0.00022316447676639964,89.98721361723791,359.99704748432254,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1789,443603.637,7798378.666,-3423.27,0.39715520272638016,0.5922871173801065,0.5120087919974209,0.00021725998115633709,-0.9990391075305659,0.0438270968994179,87.48808772838849,179.98753994744823,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1790,443803.646,7798378.677,-3423.68,0.3994619826194724,0.592287244247291,0.512004063311431,-5.0014641701138765e-05,0.9999997775031869,0.000665200805992889,89.96188679847711,359.9971343714815,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1791,444003.655,7798378.687,-3424.15,0.40176876251256466,0.592287359581093,0.5119986426226132,5.6836209447437613e-05,-0.9999998728362965,0.0005010958350189397,89.9712893223203,179.99674352466454,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1792,444203.664,7798378.698,-3424.62,0.40407554240565624,0.5922874864482774,0.5119932219337955,-4.520995178499654e-05,0.9999998034414012,0.0006253584725813702,89.96416959650296,359.99740966006334,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
1793,444403.673,7798378.708,-3425.09,0.4063823222987485,0.5922876017820795,0.5119878012449777,5.5266790618441405e-05,-0.9999999912396453,0.00012027589542540026,89.99310869879835,179.9968334461258,1.0,MAASTRICHTIANO,Strat_Series_1,1.0,1.0,0.01
