,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
2232,0.0,0.0,-1503.0,0.2501,0.2858142857142857,0.5107542857142857,0.012862922709271555,0.0014238807476681203,0.9999162553849156,0.7415135756079796,83.68327410104281,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2233,5000.0,0.0,-1574.0,0.2643857142857143,0.2858142857142857,0.5105514285714285,0.012805442949871102,0.00028309365815555143,0.9999179668797027,0.7338971729172478,88.73355180037048,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2234,10000.0,0.0,-1645.0,0.27867142857142857,0.2858142857142857,0.5103485714285714,0.013527328106162875,-0.0008999172868936228,0.9999080965484702,0.776795797637902,93.80604346631476,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2235,15000.0,0.0,-1720.0,0.2929571428571428,0.2858142857142857,0.5101342857142857,0.013698676147802444,-0.0023664379720048025,0.9999033684527331,0.7965271697357577,99.8010792747549,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2236,20000.0,0.0,-1786.0,0.30724285714285715,0.2858142857142857,0.5099457142857142,0.014041400831388814,-0.003199668144690839,0.999896295215887,0.8251649631826696,102.83701226473148,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2237,25000.0,0.0,-1860.0,0.3215285714285714,0.2858142857142857,0.5097342857142857,0.013922569354920164,-0.004503653097934511,0.9998929338540857,0.8384315067393138,107.92528373677635,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2238,30000.0,0.0,-1933.0,0.33581428571428573,0.2858142857142857,0.5095257142857142,0.013706783518563505,-0.005393023890435239,0.9998915138048191,0.8439734711217654,111.47748246402115,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2239,35000.0,0.0,-2015.0,0.35009999999999997,0.2858142857142857,0.5092914285714285,0.012624164390454483,-0.0064805435645215225,0.9998993114451831,0.8130763484755746,117.17344107526837,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2240,40000.0,0.0,-2075.0,0.3643857142857143,0.2858142857142857,0.50912,0.010864723352164178,-0.0075713061000580555,0.9999123127106797,0.7587682086696869,124.87150603690203,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2241,44999.0,0.0,-2112.0,0.3786685714285714,0.2858142857142857,0.5090142857142858,0.00956404041044776,-0.007703647680959585,0.9999245886282798,0.7036533827013983,128.85076490700703,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2242,50000.0,0.0,-2156.0,0.39295714285714284,0.2858142857142857,0.5088885714285715,0.007655823617778041,-0.005451684079287188,0.9999558327773449,0.5385044221285589,125.45452936785138,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2243,55000.0,0.0,-2194.0,0.40724285714285713,0.2858142857142857,0.50878,0.004852470914266682,-0.0013184893499040287,0.9999873574760135,0.28810777661708303,105.20112356989588,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2244,60000.0,0.0,-2218.0,0.4215285714285714,0.2858142857142857,0.5087114285714286,-0.00023684135381052705,0.002507886779793692,0.9999968272000033,0.14433082473544637,354.60506648731075,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2245,65000.0,0.0,-2180.0,0.4358142857142857,0.2858142857142857,0.5088199999999999,-7.518796863636411e-05,0.00016917292943181942,0.9999999828636446,0.010607104848549228,336.03751102542185,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2246,70000.0,0.0,-2147.0,0.4501,0.2858142857142857,0.5089142857142857,0.004701942777840599,-0.006623557702514299,0.9999670095645534,0.46540693261475263,144.62975265512313,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2247,75000.0,0.0,-2258.0,0.4643857142857143,0.2858142857142857,0.5085971428571429,0.01180724506971007,-0.005855882320787759,0.9999131450311616,0.755158487726915,116.37942045848625,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2248,80000.0,0.0,-2383.0,0.4786714285714286,0.2858142857142857,0.50824,0.013467293979275461,0.0013971654510487941,0.9999083357596226,0.7757841809391917,84.0770340022141,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2249,85000.0,0.0,-2418.0,0.49295714285714287,0.2858142857142857,0.50814,0.005515839944019924,0.0012395591147299357,0.9999840193737661,0.3239180174232766,77.33449600923373,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2250,89999.0,0.0,-2418.0,0.50724,0.2858142857142857,0.50814,0.004466966143457674,-0.0018242669472948968,0.9999883590640333,0.2764598077653493,112.21464246887368,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2251,95000.0,0.0,-2422.0,0.5215285714285715,0.2858142857142857,0.5081285714285714,0.005589762609938342,-0.00559589203306221,0.9999687197839334,0.453183025459372,135.0313964673419,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2252,100000.0,0.0,-2513.0,0.5358142857142857,0.2858142857142857,0.5078685714285714,0.004326184605196312,-0.0010842756074367552,0.9999900541871249,0.25553955382484195,104.07026079989214,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2253,105000.0,0.0,-2528.0,0.5501,0.2858142857142857,0.5078257142857143,0.0048427341602197945,-0.00522843865085677,0.9999746053551198,0.4083284322984946,137.19323457637554,1.0,top_formation,Strat_Series,1.0,1.0,0.01
2254,110000.0,0.0,-2515.0,0.5643857142857143,0.2858142857142857,0.5078628571428572,0.009544321086320657,-0.008647778912595779,0.99991705748771,0.7379538875894682,132.17863483938598,1.0,top_formation,Strat_Series,1.0,1.0,0.01
