x,y,z
1353.4892550110817,2220.0,-9267.5
2685.0,740.0,-9337.699279785156
1863.62271130085,740.0,-9267.5
2685.0,2220.0,-9410.784950256348
895.0,740.0,-9187.849025726318
895.0,2220.0,-9220.25987625122
1948.137640953064,3700.0,-9267.5
2685.0,3700.0,-9368.689517974854
895.0,3700.0,-9127.953243255615
2380.056828856468,5180.0,-9267.5
2685.0,5180.0,-9312.486763000488
895.0,4624.929780960083,-9082.5
1086.8660821765661,5180.0,-9082.5
895.0,5180.0,-9055.944499969482
2240.9147942066193,6660.0,-9267.5
2685.0,6660.0,-9321.690044403076
895.0,5921.887445449829,-9082.5
895.0,6660.0,-9109.23828125
1232.9201650619507,8140.0,-9267.5
2685.0,8140.0,-9388.366374969482
895.0,8140.0,-9240.558471679688
2613.407963514328,9620.0,-9452.5
2685.0,9620.0,-9456.205024719238
2685.0,9539.970760345459,-9452.5
895.0,9620.0,-9367.500381469727
895.0,8456.189632415771,-9267.5
1906.513341665268,11100.0,-9452.5
2685.0,11100.0,-9473.680744171143
895.0,11100.0,-9426.295948028564
2685.0,11575.620727539062,-9452.5
2685.0,12580.0,-9409.002304077148
895.0,12580.0,-9385.085487365723
2685.0,13945.06519317627,-9267.5
895.0,13757.558479309082,-9267.5
895.0,14060.0,-9237.391910552979
2685.0,14060.0,-9255.685558319092
2685.0,15200.6888961792,-9082.5
895.0,15037.117347717285,-9082.5
895.0,15540.0,-9001.840553283691
2685.0,15540.0,-9030.795497894287
2685.0,16283.11222076416,-8897.5
895.0,16084.027481079102,-8897.5
895.0,17020.0,-8715.397682189941
2685.0,17020.0,-8764.393634796143
2685.0,17304.938278198242,-8712.5
895.0,17035.098152160645,-8712.5
895.0,18003.775100708008,-8527.5
2685.0,18321.47003173828,-8527.5
895.0,18500.0,-8431.877193450928
2685.0,18500.0,-8495.145606994629
2685.0,19459.149742126465,-8342.5
895.0,19060.793952941895,-8342.5
895.0,19980.0,-8195.929222106934
2685.0,19980.0,-8259.908294677734
2685.0,20837.493743896484,-8157.5
895.0,20349.767112731934,-8157.5
895.0,21460.0,-8044.32243347168
2685.0,21460.0,-8084.074172973633
1324.2021080851555,22940.0,-7972.5
895.0,22915.270195007324,-7972.5
2685.0,22940.0,-7976.392040252686
895.0,22940.0,-7971.309452056885
2685.0,23072.349128723145,-7972.5
2685.0,24420.0,-7933.9910316467285
895.0,24420.0,-7957.633323669434
895.0,25517.963256835938,-7972.5
895.0,25900.0,-7977.856407165527
1138.801620155573,25900.0,-7972.5
2685.0,25900.0,-7939.91060256958
895.0,27380.0,-8006.405563354492
2536.8858885765076,27380.0,-7972.5
2685.0,27380.0,-7969.558563232422
2685.0,28860.0,-7995.158519744873
2685.0,27555.224380493164,-7972.5
895.0,28860.0,-8018.910903930664
895.0,30340.0,-7999.629249572754
2685.0,30340.0,-7991.912212371826
2685.0,31020.598220825195,-7972.5
895.0,31064.541931152344,-7972.5
895.0,31820.0,-7945.005893707275
2685.0,31820.0,-7950.346775054932
895.0,33300.0,-7862.139663696289
2685.0,33300.0,-7877.410717010498
2538.185614347458,34780.0,-7787.5
895.0,34462.63252258301,-7787.5
2685.0,34780.0,-7789.334869384766
895.0,34780.0,-7767.456874847412
2685.0,34811.99447631836,-7787.5
2685.0,36260.0,-7706.260452270508
895.0,36260.0,-7681.872215270996
971.3231537863612,37740.0,-7602.5
895.0,37718.644943237305,-7602.5
2685.0,37740.0,-7628.668060302734
895.0,37740.0,-7601.364498138428
2685.0,38220.57205200195,-7602.5
2685.0,39220.0,-7549.215393066406
895.0,39220.0,-7514.333114624023
1329.9303117394447,40700.0,-7417.5
895.0,40531.928787231445,-7417.5
2685.0,40700.0,-7456.375942230225
895.0,40700.0,-7405.2875328063965
2685.0,41240.91667175293,-7417.5
2685.0,42180.0,-7351.035385131836
895.0,42180.0,-7278.984298706055
2459.091507792473,43660.0,-7232.5
895.0,42710.67527770996,-7232.5
2685.0,43660.0,-7244.567794799805
895.0,43660.0,-7150.1447105407715
2685.0,43859.317626953125,-7232.5
1001.9157211855054,45140.0,-7047.5
2685.0,45140.0,-7156.383266448975
895.0,45046.20994567871,-7047.5
895.0,45140.0,-7040.6474685668945
2036.8212527036667,46620.0,-7047.5
2685.0,46620.0,-7093.751411437988
895.0,46620.0,-6966.847610473633
2653.000627756119,48100.0,-7047.5
2685.0,48100.0,-7049.955196380615
895.0,48100.0,-6913.831882476807
