#X,Y,Z,attr 
 40800.000,105748.796, -1052.381,     0.763
 40800.000, 65417.382,  -621.599,     0.886
 40800.000, 78835.183,  -847.109,     0.773
 40800.000,102628.377, -1107.313,     0.972
 40800.000,107152.984, -1072.619,     0.806
 40800.000, 81097.487,  -786.395,     0.640
 40800.000, 92409.005, -1066.837,     0.622
 40800.000,108713.194,  -971.429,     0.773
 40800.000, 93423.141, -1063.946,     0.843
 40800.000, 74466.597,  -731.463,     0.896
 40800.000, 54261.885,  -584.014,     0.902
 40800.000, 91550.890,  -861.565,     0.700
 40800.000,102940.419, -1055.272,     0.650
 40800.000, 79303.246,  -867.347,     0.949
 40800.000,112145.654, -1066.837,     0.621
 40800.000, 87104.293,  -858.673,     0.967
 40800.000, 44510.576,  -462.585,     0.903
 40800.000, 61048.796,  -638.946,     0.576
 40800.000, 82345.654,  -959.864,     0.871
 40800.000,102862.408,  -954.082,     0.925
 40800.000,109025.236, -1214.286,     0.465
 40800.000, 84841.990,  -974.320,     0.893
 40800.000,110975.497, -1150.680,     0.867
 40800.000, 75948.796,  -821.088,     0.824
 40800.000,114641.990, -1014.796,     0.689
 40800.000, 80629.424,  -910.714,     0.717
 40800.000, 88508.482,  -965.646,     0.684
 40800.000, 98103.770,  -982.993,     0.859
 40800.000, 86870.262,  -841.327,     0.726
 40800.000, 95217.382, -1009.014,     0.935
 40800.000, 80005.340,  -858.673,     0.778
 40800.000,100132.042, -1055.272,     0.642
 40800.000,110585.445, -1115.986,     0.973
 40800.000, 74388.586,  -867.347,     0.298
 40800.000, 85934.136,  -835.544,     0.952
 40800.000, 98103.770, -1113.095,     0.861
 40800.000,105982.827,  -974.320,     0.477
 40800.000, 63857.173,  -621.599,     0.690
 40800.000, 60970.785,  -607.143,     0.769
 40800.000, 67055.602,  -667.857,     0.628
 40800.000, 87494.346,  -930.952,     0.835
 40800.000,112457.696, -1191.156,     0.791
 40800.000, 72594.346,  -829.762,     0.898
 40800.000, 77899.058,  -850.000,     0.938
 40800.000, 42950.366,  -448.129,     0.786
 40800.000, 86870.262, -1026.361,     0.809
 40800.000, 78835.183,  -887.585,     0.909
 40800.000,110117.382,  -959.864,     0.873
 40800.000, 42404.293,  -439.456,     0.929
 40800.000, 63155.079,  -679.422,     0.734
 40800.000,100210.052, -1113.095,     0.802
 40800.000, 98103.770,  -925.170,     0.838
 40800.000,113861.885, -1205.612,     0.497
 40800.000, 69005.864,  -731.463,     0.960
 40800.000,109961.361, -1133.333,     0.720
 40800.000, 87026.283, -1011.905,     0.892
 40800.000,107543.037, -1214.286,     0.656
 40800.000, 73062.408,  -711.224,     0.870
 40800.000,113549.843, -1072.619,     0.953
 40800.000,106138.848, -1006.122,     0.583
 40800.000, 90926.806,  -994.558,     0.835
 40800.000, 88196.440,  -951.190,     0.927
 40800.000, 54885.969,  -584.014,     0.955
 40800.000, 68927.853,  -705.442,     0.635
 40800.000,111989.634,  -968.537,     0.629
 40800.000, 87494.346,  -939.626,     0.944
 40800.000, 57538.325,  -636.054,     0.877
 40800.000, 81019.476,  -769.048,     0.330
 40800.000,105904.817, -1009.014,     0.588
 40800.000,114251.937, -1165.136,     0.853
 40800.000,102550.366,  -974.320,     0.804
 40800.000, 74232.565,  -797.959,     0.773
 40800.000,112223.665, -1113.095,     0.680
 40800.000, 62609.005,  -641.837,     0.847
 40800.000, 56212.147,  -584.014,     0.957
 40800.000, 42716.335,  -407.653,     0.785
 40800.000,106684.921, -1000.340,     0.976
 40800.000, 90536.754,  -939.626,     0.875
 40800.000, 54651.937,  -526.190,     0.922
 40800.000, 70644.084,  -653.401,     0.541
 40800.000,105514.764,  -939.626,     0.946
 40800.000, 76884.921,  -838.435,     0.765
 40800.000, 93579.162, -1009.014,     0.918
 40800.000, 70020.000,  -766.156,     0.800
 40800.000, 90926.806,  -881.803,     0.708
 40800.000,105046.702, -1069.728,     0.702
 40800.000,102628.377, -1089.966,     0.607
 40800.000, 76416.859,  -800.850,     0.751
 40800.000, 96075.497, -1052.381,     0.842
 40800.000, 92018.953,  -870.238,     0.895
 40800.000, 83905.864,  -873.129,     0.952
 40800.000, 45680.733,  -531.973,     0.936
 40800.000,101302.199, -1087.075,     0.753
 40800.000,107699.058, -1003.231,     0.879
 40800.000, 71190.157,  -766.156,     0.856
 40800.000, 81019.476,  -933.844,     0.934
 40800.000,106216.859, -1130.442,     0.922
 40800.000, 41156.126,  -401.871,     0.585
 40800.000, 86480.209,  -899.150,     0.524
 40800.000, 83671.832,  -925.170,     0.920
 40800.000, 70800.105,  -737.245,     0.826
 40800.000, 97011.623, -1098.639,     0.715
 40800.000, 65885.445,  -670.748,     0.839
 40800.000,113705.864,  -997.449,     0.956
 40800.000,109181.257, -1110.204,     0.701
 40800.000,101380.209,  -985.884,     0.563
 40800.000,100444.084,  -922.279,     0.916
 40800.000,102004.293,  -954.082,     0.699
 40800.000, 95763.455, -1043.707,     0.621
 40800.000, 87728.377,  -988.776,     0.498
 40800.000, 69161.885,  -708.333,     0.722
 40800.000, 69863.979,  -638.946,     0.114
 40800.000,107074.974,  -971.429,     0.940
 40800.000, 40844.084,  -393.197,     0.531
 40800.000,103408.482,  -945.408,     0.673
 40800.000, 91394.869,  -913.605,     0.598
 40800.000, 89912.670,  -910.714,     0.806
 40800.000,102784.398,  -956.973,     0.936
 40800.000, 73530.471,  -760.374,     0.630
 40800.000,112145.654, -1046.599,     0.798
 40800.000, 93111.099,  -919.388,     0.925
 40800.000,114095.916, -1118.878,     0.887
 40800.000,108011.099, -1113.095,     0.716
 40800.000,111209.529, -1222.959,     0.816
 40800.000, 95919.476,  -982.993,     0.680
 40800.000, 80941.466,  -899.150,     0.686
 40800.000, 84217.906,  -826.871,     0.725
 40800.000, 87182.304,  -985.884,     0.510
 40800.000, 88352.461, -1066.837,     0.905
 40800.000,100678.115, -1066.837,     0.713
 40800.000,100912.147, -1058.163,     0.599
 40800.000,111287.539, -1095.748,     0.642
 40800.000,100834.136, -1066.837,     0.682
 40800.000, 87104.293, -1037.925,     0.820
 40800.000,111989.634, -1009.014,     0.876
 40800.000, 87806.387, -1072.619,     0.765
 40800.000, 61126.806,  -650.510,     0.916
 40800.000,105904.817, -1020.578,     0.690
 40800.000, 54417.906,  -534.864,     0.732
 40800.000,112067.644, -1168.027,     0.883
 40800.000, 91238.848,  -962.755,     0.801
 40800.000, 50751.414,  -497.279,     0.555
 40800.000, 90068.691, -1104.422,     0.934
 40800.000, 87806.387, -1052.381,     0.970
 40800.000,110351.414, -1208.503,     0.556
 40800.000, 74388.586,  -722.789,     0.702
 40800.000,100756.126, -1078.401,     0.745
 40800.000,111755.602, -1133.333,     0.854
 40800.000,101380.209, -1130.442,     0.932
 40800.000,104344.607,  -971.429,     0.630
 40800.000, 96309.529,  -928.061,     0.747
 40800.000,113783.874,  -988.776,     0.849
 40800.000,111677.592, -1037.925,     0.610
 40800.000, 99820.000, -1063.946,     0.813
 40800.000, 41546.178,  -398.980,     0.434
 40800.000,102160.314, -1150.680,     0.760
 40800.000, 81097.487,  -867.347,     0.972
 40800.000,102160.314, -1101.531,     0.730
 40800.000, 89132.565, -1032.143,     0.466
 40800.000, 83125.759,  -997.449,     0.927
 40800.000, 80629.424,  -777.721,     0.689
 40800.000, 63701.152,  -705.442,     0.605
 40800.000,107230.995, -1202.721,     0.453
 40800.000, 99820.000, -1043.707,     0.589
 40800.000, 97323.665, -1121.769,     0.638
 40800.000, 89210.576, -1081.293,     0.925
 40800.000, 56836.230,  -592.687,     0.951
 40800.000, 95061.361,  -907.823,     0.885
 40800.000, 83905.864,  -982.993,     0.894
