,time_d,northing_d,easting_d,estrutural
321840,95.0,7651000.0,400000.0,-3429.23
321841,95.0,7651000.0,401000.0,-3485.33
321842,95.0,7651000.0,402000.0,-3599.22
321843,95.0,7651000.0,403000.0,-3701.37
321844,95.0,7651000.0,404000.0,-3812.75
321845,95.0,7651000.0,405000.0,-3987.86
321846,95.0,7651000.0,406000.0,-4202.07
321847,95.0,7651000.0,407000.0,-4359.43
321848,95.0,7651000.0,408000.0,-4403.47
321849,95.0,7651000.0,409000.0,-4398.61
321850,95.0,7651000.0,410000.0,-4401.67
321851,95.0,7651000.0,411000.0,-4381.93
321852,95.0,7651000.0,412000.0,-4327.46
321853,95.0,7651000.0,413000.0,-4220.54
321854,95.0,7651000.0,414000.0,-4052.25
321855,95.0,7651000.0,415000.0,-3927.87
321856,95.0,7651000.0,416000.0,-3947.37
321857,95.0,7651000.0,417000.0,-4049.43
321858,95.0,7651000.0,418000.0,-4135.51
321859,95.0,7651000.0,419000.0,-4206.85
321860,95.0,7651000.0,420000.0,-4282.39
321861,95.0,7651000.0,421000.0,-4341.05
321862,95.0,7651000.0,422000.0,-4342.72
321863,95.0,7651000.0,423000.0,-4268.87
321864,95.0,7651000.0,424000.0,-4182.38
321865,95.0,7651000.0,425000.0,-4139.1
321866,95.0,7651000.0,426000.0,-4120.04
321867,95.0,7651000.0,427000.0,-4161.32
321868,95.0,7651000.0,428000.0,-4325.02
321869,95.0,7651000.0,429000.0,-4548.88
321870,95.0,7651000.0,430000.0,-4678.38
321871,95.0,7651000.0,431000.0,-4605.55
321872,95.0,7651000.0,432000.0,-4391.87
321873,95.0,7651000.0,433000.0,-4204.36
321874,95.0,7651000.0,434000.0,-4175.83
321875,95.0,7651000.0,435000.0,-4361.08
321876,95.0,7651000.0,436000.0,-4661.51
321877,95.0,7651000.0,437000.0,-4906.77
321878,95.0,7651000.0,438000.0,-5045.83
321879,95.0,7651000.0,439000.0,-5065.21
321880,95.0,7651000.0,440000.0,-4848.81
321881,95.0,7651000.0,441000.0,-4460.3
321882,95.0,7651000.0,442000.0,-4259.09
321883,95.0,7651000.0,443000.0,-4368.66
321884,95.0,7651000.0,444000.0,-4574.11
321885,95.0,7651000.0,445000.0,-4728.6
321886,95.0,7651000.0,446000.0,-4814.97
321887,95.0,7651000.0,447000.0,-4852.44
321888,95.0,7651000.0,448000.0,-4868.71
321889,95.0,7651000.0,449000.0,-4888.51
321890,95.0,7651000.0,450000.0,-4963.24
321891,95.0,7651000.0,451000.0,-5112.64
321892,95.0,7651000.0,452000.0,-5233.39
321893,95.0,7651000.0,453000.0,-5209.69
321894,95.0,7651000.0,454000.0,-5089.42
321895,95.0,7651000.0,455000.0,-5010.45
321896,95.0,7651000.0,456000.0,-5036.61
321897,95.0,7651000.0,457000.0,-5150.42
321898,95.0,7651000.0,458000.0,-5306.48
321899,95.0,7651000.0,459000.0,-5433.93
321900,95.0,7651000.0,460000.0,-5471.11
321901,95.0,7651000.0,461000.0,-5450.52
321902,95.0,7651000.0,462000.0,-5450.59
321903,95.0,7651000.0,463000.0,-5445.61
321904,95.0,7651000.0,464000.0,-5325.01
321905,95.0,7651000.0,465000.0,-4869.7
321906,95.0,7651000.0,466000.0,-3932.68
321907,95.0,7651000.0,467000.0,-2955.57
321908,95.0,7651000.0,468000.0,-2448.41
321909,95.0,7651000.0,469000.0,-2273.05
321910,95.0,7651000.0,470000.0,-2147.61
321911,95.0,7651000.0,471000.0,-2059.06
321912,95.0,7651000.0,472000.0,-2105.09
321913,95.0,7651000.0,473000.0,-2335.03
321914,95.0,7651000.0,474000.0,-2702.26
321915,95.0,7651000.0,475000.0,-3137.53
321916,95.0,7651000.0,476000.0,-3555.23
321917,95.0,7651000.0,477000.0,-3817.63
321918,95.0,7651000.0,478000.0,-3865.09
321919,95.0,7651000.0,479000.0,-3772.74
321920,95.0,7651000.0,480000.0,-3643.12
321921,95.0,7651000.0,481000.0,-3576.32
321922,95.0,7651000.0,482000.0,-3573.37
321923,95.0,7651000.0,483000.0,-3586.11
321924,95.0,7651000.0,484000.0,-3753.22
321925,95.0,7651000.0,485000.0,-4286.12
321926,95.0,7651000.0,486000.0,-5081.6
321927,95.0,7651000.0,487000.0,-5771.03
321928,95.0,7651000.0,488000.0,-6280.25
321929,95.0,7651000.0,489000.0,-6783.8
321930,95.0,7651000.0,490000.0,-7254.79
321931,95.0,7651000.0,491000.0,-7524.46
321932,95.0,7651000.0,492000.0,-7459.55
321933,95.0,7651000.0,493000.0,-7219.35
321934,95.0,7651000.0,494000.0,-7060.13
321935,95.0,7651000.0,495000.0,-6691.7
321936,95.0,7651000.0,496000.0,-5574.73
321937,95.0,7651000.0,497000.0,-4336.98
321938,95.0,7651000.0,498000.0,-3952.76
321939,95.0,7651000.0,499000.0,-4117.64
321940,95.0,7651000.0,500000.0,-4643.74
321941,95.0,7651000.0,501000.0,-5438.64
321942,95.0,7651000.0,502000.0,-5850.3
321943,95.0,7651000.0,503000.0,-5628.94
321944,95.0,7651000.0,504000.0,-4939.15
321945,95.0,7651000.0,505000.0,-4096.65
321946,95.0,7651000.0,506000.0,-3535.44
321947,95.0,7651000.0,507000.0,-3515.98
321948,95.0,7651000.0,508000.0,-3847.79
321949,95.0,7651000.0,509000.0,-4165.86
321950,95.0,7651000.0,510000.0,-4351.51
321951,95.0,7651000.0,511000.0,-4436.36
321952,95.0,7651000.0,512000.0,-4417.3
321953,95.0,7651000.0,513000.0,-4283.89
321954,95.0,7651000.0,514000.0,-3949.85
321955,95.0,7651000.0,515000.0,-3713.41
321956,95.0,7651000.0,516000.0,-4521.56
321957,95.0,7651000.0,517000.0,-6054.67
321958,95.0,7651000.0,518000.0,-5932.2
321959,95.0,7651000.0,519000.0,-4413.66
321960,95.0,7651000.0,520000.0,-4823.83
321961,95.0,7651000.0,521000.0,-6693.23
321962,95.0,7651000.0,522000.0,-7328.75
321963,95.0,7651000.0,523000.0,-7109.67
321964,95.0,7651000.0,524000.0,-7210.63
321965,95.0,7651000.0,525000.0,-7423.64
321966,95.0,7651000.0,526000.0,-7236.76
321967,95.0,7651000.0,527000.0,-6776.42
321968,95.0,7651000.0,528000.0,-6488.88
321969,95.0,7651000.0,529000.0,-6382.73
321970,95.0,7651000.0,530000.0,-6452.67
321971,95.0,7651000.0,531000.0,-6814.13
321972,95.0,7651000.0,532000.0,-7130.77
321973,95.0,7651000.0,533000.0,-7128.73
321974,95.0,7651000.0,534000.0,-6919.15
321975,95.0,7651000.0,535000.0,-6240.25
321976,95.0,7651000.0,536000.0,-4801.32
321977,95.0,7651000.0,537000.0,-3576.81
321978,95.0,7651000.0,538000.0,-3466.32
321979,95.0,7651000.0,539000.0,-3754.8
321980,95.0,7651000.0,540000.0,-3776.68
321981,95.0,7651000.0,541000.0,-3665.06
321982,95.0,7651000.0,542000.0,-3560.3
321983,95.0,7651000.0,543000.0,-3484.41
321984,95.0,7651000.0,544000.0,-3405.47
321985,95.0,7651000.0,545000.0,-3249.67
321986,95.0,7651000.0,546000.0,-3017.17
321987,95.0,7651000.0,547000.0,-2853.46
321988,95.0,7651000.0,548000.0,-2832.69
321989,95.0,7651000.0,549000.0,-2889.46
321990,95.0,7651000.0,550000.0,-2987.79
321991,95.0,7651000.0,551000.0,-3584.7
321992,95.0,7651000.0,552000.0,-4881.27
321993,95.0,7651000.0,553000.0,-5949.72
321994,95.0,7651000.0,554000.0,-6340.7
321995,95.0,7651000.0,555000.0,-6505.17
321996,95.0,7651000.0,556000.0,-6661.57
321997,95.0,7651000.0,557000.0,-6822.39
321998,95.0,7651000.0,558000.0,-6981.62
321999,95.0,7651000.0,559000.0,-7081.27
322000,95.0,7651000.0,560000.0,-7098.58
322001,95.0,7651000.0,561000.0,-7075.12
322002,95.0,7651000.0,562000.0,-7040.91
322003,95.0,7651000.0,563000.0,-6993.1
322004,95.0,7651000.0,564000.0,-6921.62
322005,95.0,7651000.0,565000.0,-6829.44
322006,95.0,7651000.0,566000.0,-6735.98
322007,95.0,7651000.0,567000.0,-6662.24
322008,95.0,7651000.0,568000.0,-6619.8
322009,95.0,7651000.0,569000.0,-6607.47
322010,95.0,7651000.0,570000.0,-6614.67
322011,95.0,7651000.0,571000.0,-6624.25
322012,95.0,7651000.0,572000.0,-6616.97
322013,95.0,7651000.0,573000.0,-6577.5
322014,95.0,7651000.0,574000.0,-6486.41
322015,95.0,7651000.0,575000.0,-6376.93
322016,95.0,7651000.0,576000.0,-6313.41
322017,95.0,7651000.0,577000.0,-6275.75
322018,95.0,7651000.0,578000.0,-6226.06
322019,95.0,7651000.0,579000.0,-6337.13
322020,95.0,7652000.0,400000.0,-3408.32
322021,95.0,7652000.0,401000.0,-3462.93
322022,95.0,7652000.0,402000.0,-3572.35
322023,95.0,7652000.0,403000.0,-3673.66
322024,95.0,7652000.0,404000.0,-3783.53
322025,95.0,7652000.0,405000.0,-3945.65
322026,95.0,7652000.0,406000.0,-4146.21
322027,95.0,7652000.0,407000.0,-4304.1
322028,95.0,7652000.0,408000.0,-4359.01
322029,95.0,7652000.0,409000.0,-4378.38
322030,95.0,7652000.0,410000.0,-4414.73
322031,95.0,7652000.0,411000.0,-4411.09
322032,95.0,7652000.0,412000.0,-4361.21
322033,95.0,7652000.0,413000.0,-4263.92
322034,95.0,7652000.0,414000.0,-4107.77
322035,95.0,7652000.0,415000.0,-4002.13
322036,95.0,7652000.0,416000.0,-4035.45
322037,95.0,7652000.0,417000.0,-4120.31
322038,95.0,7652000.0,418000.0,-4168.01
322039,95.0,7652000.0,419000.0,-4208.92
322040,95.0,7652000.0,420000.0,-4269.37
322041,95.0,7652000.0,421000.0,-4316.03
322042,95.0,7652000.0,422000.0,-4296.03
322043,95.0,7652000.0,423000.0,-4196.41
322044,95.0,7652000.0,424000.0,-4108.62
322045,95.0,7652000.0,425000.0,-4101.64
322046,95.0,7652000.0,426000.0,-4128.97
322047,95.0,7652000.0,427000.0,-4189.83
322048,95.0,7652000.0,428000.0,-4321.37
