X,Y,Z,formation,,
2000,10000,-5525,TOP_BV_SUP,,
2000,11250,-5375,TOP_BV_SUP,,
2000,12500,-5225,TOP_BV_SUP,,
2000,13750,-5200,TOP_BV_SUP,,
2000,15000,-5200,TOP_BV_SUP,,
2000,16250,-5400,TOP_BV_SUP,,
2000,17500,-5550,TOP_BV_SUP,,
2000,18750,-5800,TOP_BV_SUP,,
2000,20000,-5950,TOP_BV_SUP,,
2000,0,-3435,BOT_BV_SUP,,
2000,1250,-3785,BOT_BV_SUP,,
2000,2500,-4135,BOT_BV_SUP,,
2000,3750,-4535,BOT_BV_SUP,,
2000,5000,-4835,BOT_BV_SUP,,
2000,6250,-5035,BOT_BV_SUP,,
2000,7500,-5235,BOT_BV_SUP,,
2000,8750,-5535,BOT_BV_SUP,,
2000,10000,-5535,BOT_BV_SUP,,
2000,11250,-5385,BOT_BV_SUP,,
2000,12500,-5235,BOT_BV_SUP,,
2000,13750,-5500,BOT_BV_SUP,,
2000,15000,-5600,BOT_BV_SUP,,
2000,16250,-5900,BOT_BV_SUP,,
2000,17500,-6000,BOT_BV_SUP,,
2000,18750,-6200,BOT_BV_SUP,,
2000,20000,-6400,BOT_BV_SUP,,
2000,0,-3450,TOP_BV_INF,,
2000,1250,-3800,TOP_BV_INF,,
2000,2500,-4150,TOP_BV_INF,,
2000,3750,-4550,TOP_BV_INF,,
2000,5000,-4850,TOP_BV_INF,,
2000,6250,-5050,TOP_BV_INF,,
2000,7500,-5250,TOP_BV_INF,,
2000,8750,-5550,TOP_BV_INF,,
2000,10000,-5550,TOP_BV_INF,,
2000,11250,-5400,TOP_BV_INF,,
2000,12500,-5250,TOP_BV_INF,,
2000,13750,-5550,TOP_BV_INF,,
2000,15000,-5650,TOP_BV_INF,,
2000,16250,-5950,TOP_BV_INF,,
2000,17500,-6050,TOP_BV_INF,,
2000,18750,-6250,TOP_BV_INF,,
2000,20000,-6450,TOP_BV_INF,,
2000,0,-4000,BOT_BV_INF,,
2000,1250,-4300,BOT_BV_INF,,
2000,2500,-4600,BOT_BV_INF,,
2000,3750,-5000,BOT_BV_INF,,
2000,5000,-5200,BOT_BV_INF,,
2000,6250,-5500,BOT_BV_INF,,
2000,7500,-5850,BOT_BV_INF,,
2000,8750,-6000,BOT_BV_INF,,
2000,10000,-6300,BOT_BV_INF,,
2000,11250,-6450,BOT_BV_INF,,
2000,12500,-6700,BOT_BV_INF,,
2000,13750,-6800,BOT_BV_INF,,
2000,15000,-6900,BOT_BV_INF,,
2000,16250,-7100,BOT_BV_INF,,
2000,17500,-7300,BOT_BV_INF,,
2000,18750,-7500,BOT_BV_INF,,
2000,20000,-7700,BOT_BV_INF,,
2000,0,-4050,TOP_ITAPEMA,,
2000,1250,-4350,TOP_ITAPEMA,,
2000,2500,-4650,TOP_ITAPEMA,,
2000,3750,-5050,TOP_ITAPEMA,,
2000,5000,-5250,TOP_ITAPEMA,,
2000,6250,-5550,TOP_ITAPEMA,,
2000,7500,-5900,TOP_ITAPEMA,,
2000,8750,-6050,TOP_ITAPEMA,,
2000,10000,-6350,TOP_ITAPEMA,,
2000,11250,-6500,TOP_ITAPEMA,,
2000,12500,-6750,TOP_ITAPEMA,,
2000,13750,-6850,TOP_ITAPEMA,,
2000,15000,-6950,TOP_ITAPEMA,,
2000,16250,-7150,TOP_ITAPEMA,,
2000,17500,-7350,TOP_ITAPEMA,,
2000,18750,-7550,TOP_ITAPEMA,,
2000,20000,-7750,TOP_ITAPEMA,,
2000,0,-5000,BOT_ITAPEMA,,
2000,1250,-5200,BOT_ITAPEMA,,
2000,2500,-5600,BOT_ITAPEMA,,
2000,3750,-6000,BOT_ITAPEMA,,
2000,5000,-6500,BOT_ITAPEMA,,
2000,6250,-6800,BOT_ITAPEMA,,
2000,7500,-7000,BOT_ITAPEMA,,
2000,8750,-7200,BOT_ITAPEMA,,
2000,10000,-7500,BOT_ITAPEMA,,
2000,11250,-7600,BOT_ITAPEMA,,
2000,12500,-7700,BOT_ITAPEMA,,
2000,13750,-7800,BOT_ITAPEMA,,
2000,15000,-8000,BOT_ITAPEMA,,
2000,16250,-8100,BOT_ITAPEMA,,
2000,17500,-8400,BOT_ITAPEMA,,
2000,18750,-8600,BOT_ITAPEMA,,
2000,20000,-9000,BOT_ITAPEMA,,
2000,0,-5050,TOP_CAMBORIU,,
2000,1250,-5250,TOP_CAMBORIU,,
2000,2500,-5650,TOP_CAMBORIU,,
2000,3750,-6050,TOP_CAMBORIU,,
2000,5000,-6550,TOP_CAMBORIU,,
2000,6250,-6850,TOP_CAMBORIU,,
2000,7500,-7050,TOP_CAMBORIU,,
2000,8750,-7250,TOP_CAMBORIU,,
2000,10000,-7550,TOP_CAMBORIU,,
